epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.5292,2.76326,4.76751,1.44881,0,0,0,0,2.23611,4.62522,1.38771,6.25e-05,6.25e-05,6.25e-05
2,6.7781,2.63045,4.45443,1.32931,0,0,0,0,1.67496,4.32161,0.96675,0.000136139,0.000136139,0.000136139
3,8.9963,2.20746,3.80727,1.05576,0,0,0,0,1.74265,4.22187,0.90605,0.000208293,0.000208293,0.000208293
4,11.0358,2.07569,3.02192,0.99591,0.00284,0.01027,0.00257,0.00044,1.94498,4.16904,0.9434,0.000278961,0.000278961,0.000278961
5,13.1111,2.12895,2.65528,1.01265,0,0,0,0,1.85236,4.04244,0.92532,0.000348145,0.000348145,0.000348145
6,15.1438,2.08921,2.41255,0.98743,0.00158,0.00342,0.00453,0.00091,1.94363,3.83724,0.94767,0.000415844,0.000415844,0.000415844
7,17.1765,1.91029,1.95494,0.97366,0.02049,0.08562,0.06376,0.02951,1.8736,3.65413,0.93534,0.000482057,0.000482057,0.000482057
8,19.2358,1.96471,1.89126,0.9599,0.0135,0.09932,0.07028,0.03143,1.96593,3.56905,0.94185,0.000546786,0.000546786,0.000546786
9,21.3158,1.91741,1.96546,0.96207,0.01357,0.08904,0.04913,0.01136,2.17177,3.53594,1.00671,0.00061003,0.00061003,0.00061003
10,23.3702,2.00126,1.71198,0.96443,0.02222,0.10959,0.07579,0.02407,2.19801,3.21152,1.00782,0.000671789,0.000671789,0.000671789
11,25.3403,2.00285,1.78444,0.97803,0.04035,0.42808,0.13235,0.06313,1.80099,3.07024,0.90471,0.000732063,0.000732063,0.000732063
12,27.3384,1.93835,1.70961,0.95171,0.03467,0.41096,0.36468,0.24285,1.90724,2.88878,0.95981,0.000790851,0.000790851,0.000790851
13,29.4399,1.93048,1.72688,0.98152,0.03832,0.43493,0.35262,0.21836,1.76942,2.96621,0.91517,0.000848155,0.000848155,0.000848155
14,31.4867,1.97458,1.7462,0.93469,0.03294,0.44521,0.3555,0.21926,1.79352,2.80752,0.9117,0.000903974,0.000903974,0.000903974
15,33.4535,1.90841,1.76389,0.93401,0.03224,0.45548,0.36189,0.24918,1.76783,2.71536,0.9212,0.000958307,0.000958307,0.000958307
16,35.4491,1.77273,1.73044,0.92867,0.0335,0.63955,0.57375,0.37398,1.76864,2.66078,0.92991,0.00101116,0.00101116,0.00101116
17,37.4,2.00037,1.60512,0.94745,0.03657,0.65325,0.59756,0.39768,1.72254,2.4649,0.91469,0.001052,0.001052,0.001052
18,39.3869,1.93501,1.65192,0.9652,0.82907,0.37294,0.60928,0.46623,1.60774,1.9896,0.88397,0.00103962,0.00103962,0.00103962
19,41.312,1.77217,1.53614,0.91466,0.82509,0.42466,0.63043,0.47337,1.54603,1.80685,0.88359,0.00102725,0.00102725,0.00102725
20,43.2956,1.80578,1.47053,0.93819,0.79739,0.53883,0.59815,0.41567,1.77762,1.6504,0.9182,0.00101488,0.00101488,0.00101488
