epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.24762,3.58325,5.41181,1.82286,0,0,0,0,2.69485,4.65635,1.47593,6.25e-05,6.25e-05,6.25e-05
2,6.5056,3.40707,5.02456,1.69121,0.00019,0.0625,0.00096,0.00058,2.1155,4.32935,1.06226,0.000136139,0.000136139,0.000136139
3,8.76908,2.79753,4.50761,1.2633,0.00014,0.0625,0.0008,0.00048,2.4797,4.33767,1.02866,0.000208293,0.000208293,0.000208293
4,10.8438,2.57233,3.78517,1.13387,0.0001,0.0625,0.0001,4e-05,2.31759,4.26863,0.97718,0.000278961,0.000278961,0.000278961
5,12.9372,2.5291,3.44192,1.1386,0.0001,0.0625,0.0001,4e-05,2.37455,4.12993,0.99484,0.000348145,0.000348145,0.000348145
6,14.9966,2.46747,3.09496,1.08867,0.03312,0.08647,0.03335,0.01374,2.37897,3.87603,1.02749,0.000415844,0.000415844,0.000415844
7,17.0798,2.27696,2.56352,1.05786,0.02322,0.05822,0.0338,0.01137,2.34446,3.71704,1.01427,0.000482057,0.000482057,0.000482057
8,19.1409,2.39412,2.49585,1.04678,0.01308,0.09247,0.04724,0.01491,2.34726,3.5778,1.03152,0.000546786,0.000546786,0.000546786
9,21.2753,2.28376,2.47391,1.02567,0.01147,0.11301,0.04784,0.01533,2.21523,3.45526,0.96448,0.00061003,0.00061003,0.00061003
10,23.2895,2.32434,2.22678,1.03106,0.01335,0.15068,0.07117,0.02561,2.0972,3.17642,0.96987,0.000671789,0.000671789,0.000671789
11,25.2953,2.25736,2.174,1.03212,0.0177,0.40753,0.08229,0.02992,1.96419,3.05799,0.93795,0.000732063,0.000732063,0.000732063
12,27.2779,2.16377,2.06966,1.00464,0.0186,0.72346,0.33623,0.22622,2.21849,2.87325,1.02504,0.000790851,0.000790851,0.000790851
13,29.3147,2.15952,2.03484,1.03545,0.01846,0.80993,0.36598,0.25607,1.91915,2.92245,0.94954,0.000848155,0.000848155,0.000848155
14,31.3094,2.26805,2.12126,0.99902,0.01818,0.82363,0.36507,0.26723,1.86669,2.85126,0.94081,0.000903974,0.000903974,0.000903974
15,33.2764,2.10429,2.02122,0.98367,0.01308,0.68836,0.35374,0.28982,2.06064,2.90043,1.00513,0.000958307,0.000958307,0.000958307
16,35.3462,2.08527,1.99078,0.99598,0.45728,0.36644,0.35688,0.27045,1.93435,2.64927,0.96151,0.00101116,0.00101116,0.00101116
17,37.3878,2.13569,1.84291,0.97111,0.79571,0.26941,0.36018,0.24449,1.89005,2.59467,0.92866,0.001052,0.001052,0.001052
18,39.496,2.12352,1.88148,0.99394,0.89708,0.16096,0.41373,0.26677,1.83895,2.19234,0.92562,0.00103962,0.00103962,0.00103962
19,41.5332,1.99695,1.72708,0.95617,0.91241,0.16096,0.43385,0.27553,1.86103,2.12663,0.93873,0.00102725,0.00102725,0.00102725
20,43.6095,2.04831,1.68751,0.97951,0.93083,0.15223,0.33547,0.18728,1.91403,2.0111,0.93097,0.00101488,0.00101488,0.00101488
21,45.6718,1.94604,1.68899,0.96242,0.92216,0.14726,0.37067,0.20227,1.87255,1.96792,0.93156,0.0010025,0.0010025,0.0010025
22,47.7289,1.94425,1.67855,0.96021,0.81206,0.347,0.47925,0.3302,1.99664,1.85366,0.96835,0.000990125,0.000990125,0.000990125
23,49.691,2.04505,1.68195,0.96022,0.78664,0.34407,0.48301,0.30575,1.93038,1.76851,0.94773,0.00097775,0.00097775,0.00097775
24,51.744,2.00527,1.71099,0.97245,0.75462,0.33904,0.5106,0.29577,1.92672,1.68409,0.93271,0.000965375,0.000965375,0.000965375
