epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.25135,3.03967,4.91446,1.53822,0,0,0,0,2.60066,4.73703,1.47211,6.25e-05,6.25e-05,6.25e-05
2,6.59959,2.93649,4.5892,1.44365,0,0,0,0,2.04009,4.45473,1.09205,0.000136139,0.000136139,0.000136139
3,8.80851,2.43148,4.05426,1.12213,0.00134,0.25685,0.00113,0.00033,2.15368,4.3132,1.02267,0.000208293,0.000208293,0.000208293
4,10.9319,2.37721,3.27498,1.0509,0.00101,0.25342,0.00124,0.0006,2.34573,4.22378,1.05222,0.000278961,0.000278961,0.000278961
5,12.9754,2.3077,2.93912,1.04896,0.00029,0.25,0.00389,0.00039,2.285,4.05808,1.02273,0.000348145,0.000348145,0.000348145
6,15.0449,2.29277,2.65798,1.01958,0.01524,0.01712,0.0234,0.01026,2.59829,3.89391,1.11177,0.000415844,0.000415844,0.000415844
7,17.1083,2.09958,2.14459,1.00299,0.03684,0.09589,0.05801,0.01354,2.48898,3.61543,1.09111,0.000482057,0.000482057,0.000482057
8,19.182,2.15547,2.06181,0.99484,0.0228,0.09247,0.04347,0.00938,2.51386,3.47752,1.11904,0.000546786,0.000546786,0.000546786
9,21.2728,2.06125,2.08284,0.97887,0.02378,0.11986,0.07645,0.01704,2.49894,3.35141,1.10956,0.00061003,0.00061003,0.00061003
10,23.2889,2.16179,1.8828,0.99087,0.01818,0.10959,0.07278,0.01618,2.66527,3.06871,1.2148,0.000671789,0.000671789,0.000671789
11,25.316,2.11271,1.87107,0.99655,0.02529,0.42123,0.10417,0.03961,2.12137,2.80961,0.9853,0.000732063,0.000732063,0.000732063
12,27.3547,2.03454,1.81717,0.97145,0.01521,0.17209,0.04404,0.01309,2.66539,2.85477,1.2532,0.000790851,0.000790851,0.000790851
13,29.364,2.1317,1.85031,1.03628,0.02315,0.50086,0.42081,0.19943,2.1869,2.72362,1.03375,0.000848155,0.000848155,0.000848155
14,31.3677,2.15423,1.81182,0.97601,0.02524,0.72603,0.40042,0.20456,1.96731,2.68349,0.91235,0.000903974,0.000903974,0.000903974
15,33.3613,2.08935,1.89918,0.95514,0.02359,0.72945,0.42187,0.24558,1.91172,2.467,0.92539,0.000958307,0.000958307,0.000958307
16,35.3829,1.87531,1.71911,0.93929,0.87411,0.34589,0.50587,0.32513,2.28769,2.17309,1.04899,0.00101116,0.00101116,0.00101116
17,37.3762,2.16708,1.60693,0.97519,0.884,0.41412,0.52621,0.36829,2.30149,2.08058,1.06202,0.001052,0.001052,0.001052
18,39.3461,2.14988,1.703,1.00756,0.79699,0.47608,0.56758,0.41179,1.90142,1.94344,0.94696,0.00103962,0.00103962,0.00103962
19,41.3476,1.9257,1.63199,0.93943,0.80451,0.41438,0.63212,0.41453,1.88288,1.86455,0.9338,0.00102725,0.00102725,0.00102725
20,43.4044,1.97488,1.54731,0.96428,0.77898,0.56678,0.63697,0.456,1.98485,1.58686,0.97066,0.00101488,0.00101488,0.00101488
21,45.3834,1.90161,1.57954,0.96216,0.78436,0.56336,0.60572,0.40808,1.93455,1.51547,0.96392,0.0010025,0.0010025,0.0010025
22,47.4032,1.84698,1.4844,0.95077,0.7706,0.5403,0.60329,0.35275,1.78538,1.54957,0.95375,0.000990125,0.000990125,0.000990125
23,49.3785,1.92565,1.51043,0.94793,0.795,0.53654,0.6047,0.35227,1.78671,1.60886,0.93558,0.00097775,0.00097775,0.00097775
24,51.3976,1.81941,1.52242,0.94791,0.55221,0.57739,0.60928,0.38607,1.82807,1.50329,0.94985,0.000965375,0.000965375,0.000965375
25,53.3396,1.96659,1.61387,0.96279,0.53581,0.57363,0.61978,0.38923,1.8294,1.45098,0.95449,0.000953,0.000953,0.000953
26,55.3548,1.91915,1.46647,0.92055,0.56698,0.47375,0.57245,0.3762,2.13618,1.80443,1.00098,0.000940625,0.000940625,0.000940625
27,57.3872,1.94333,1.54501,0.94719,0.58268,0.47413,0.57962,0.40998,2.0533,1.80698,0.97475,0.00092825,0.00092825,0.00092825
28,59.4463,1.91099,1.44013,0.93771,0.76918,0.57119,0.59988,0.43443,1.83724,1.4343,0.95207,0.000915875,0.000915875,0.000915875
29,61.4523,1.82701,1.38916,0.93546,0.80551,0.56678,0.5956,0.3789,1.85066,1.37992,0.94806,0.0009035,0.0009035,0.0009035
