epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.4657,3.21514,4.99064,1.5967,0,0,0,0,2.11832,5.05315,1.21488,6.25e-05,6.25e-05,6.25e-05
2,63.3198,2.69366,4.59481,1.22654,0,0,0,0,1.78656,4.64253,0.94096,0.000136139,0.000136139,0.000136139
3,92.7948,2.21933,3.79555,1.03353,0,0,0,0,1.87851,4.50162,0.92108,0.000208293,0.000208293,0.000208293
4,122.605,2.05562,3.04116,0.98639,0,0,0,0,1.74367,4.42922,0.87725,0.000278961,0.000278961,0.000278961
5,152.179,2.15488,2.55779,0.99982,0.00017,0.0625,0.00198,0.0002,1.90872,4.22019,0.93565,0.000348145,0.000348145,0.000348145
6,181.507,2.29206,2.26893,1.03845,0.0119,0.02055,0.01761,0.00512,2.04113,4.19124,0.97239,0.000415844,0.000415844,0.000415844
7,210.874,2.07477,2.15128,0.97715,0.03281,0.07192,0.06587,0.01757,1.75405,4.04075,0.91849,0.000482057,0.000482057,0.000482057
8,240.399,2.00038,1.9773,0.96251,0.04712,0.12329,0.09883,0.03376,1.86311,3.84108,0.9275,0.000546786,0.000546786,0.000546786
9,270.017,1.9129,1.87659,0.93143,0.04834,0.11986,0.09613,0.03552,1.65615,3.72901,0.90804,0.00061003,0.00061003,0.00061003
10,299.965,1.87991,1.7448,0.96713,0.05779,0.15753,0.12649,0.04074,1.94695,3.51525,0.97073,0.000671789,0.000671789,0.000671789
11,329.617,2.13938,1.70551,0.99271,0.04401,0.17123,0.10733,0.05306,1.607,3.43626,0.90312,0.000732063,0.000732063,0.000732063
12,358.797,1.90295,1.84382,0.95847,0.05078,0.45205,0.11693,0.04192,1.76613,3.53176,0.90338,0.000790851,0.000790851,0.000790851
13,388.172,1.86873,1.64778,0.93577,0.04918,0.79195,0.18659,0.08578,1.88676,3.30578,0.91551,0.000848155,0.000848155,0.000848155
14,417.346,1.79281,1.52525,0.94071,0.03895,0.85445,0.52315,0.32839,1.69424,2.92696,0.89985,0.000903974,0.000903974,0.000903974
15,446.328,1.74588,1.49332,0.91695,0.03325,0.85103,0.50551,0.32686,1.77323,2.96257,0.91209,0.000958307,0.000958307,0.000958307
16,475.353,1.80933,1.38806,0.93178,0.85157,0.27256,0.41358,0.26217,1.7172,2.81877,0.89451,0.00101116,0.00101116,0.00101116
17,505.275,1.75594,1.40146,0.91811,0.8299,0.31164,0.44182,0.29238,1.6021,2.50963,0.88295,0.001052,0.001052,0.001052
18,534.159,1.68883,1.43296,0.93068,0.81819,0.40464,0.57456,0.35539,1.68898,2.12061,0.91492,0.00103962,0.00103962,0.00103962
19,563.481,1.95226,1.39977,0.95628,0.80607,0.50359,0.57276,0.35951,1.6549,2.0515,0.92053,0.00102725,0.00102725,0.00102725
20,592.783,1.89909,1.44503,0.93403,0.81115,0.51422,0.57412,0.36568,1.67786,2.0059,0.91017,0.00101488,0.00101488,0.00101488
21,622.449,1.84868,1.43553,0.93216,0.69786,0.46698,0.57282,0.34765,1.62066,1.86771,0.93424,0.0010025,0.0010025,0.0010025
22,651.722,1.74151,1.35351,0.92559,0.84855,0.52158,0.6462,0.35373,1.91849,1.67048,0.96594,0.000990125,0.000990125,0.000990125
