epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.08673,3.42688,5.16339,1.88969,0,0,0,0,3.00596,4.82053,1.83668,6.25e-05,6.25e-05,6.25e-05
2,6.27537,3.37176,4.84229,1.68714,0,0,0,0,2.28677,4.50806,1.21481,0.000136139,0.000136139,0.000136139
3,8.44893,2.63864,4.4185,1.18674,0,0,0,0,2.19235,4.32535,0.99367,0.000208293,0.000208293,0.000208293
4,10.521,2.40412,3.63689,1.07038,0,0,0,0,2.39086,4.24152,1.03516,0.000278961,0.000278961,0.000278961
5,12.5515,2.46428,3.13089,1.08603,0,0,0,0,2.49365,4.04434,1.0798,0.000348145,0.000348145,0.000348145
6,14.5939,2.42332,2.72121,1.05718,0.06667,0.08219,0.07307,0.01963,2.642,3.71235,1.13624,0.000415844,0.000415844,0.000415844
7,16.6553,2.25272,2.21543,1.04108,0.03505,0.10274,0.05791,0.01271,2.44736,3.47567,1.09522,0.000482057,0.000482057,0.000482057
8,18.759,2.30875,2.09957,1.02861,0.02224,0.09932,0.06035,0.0124,2.78739,3.30727,1.17256,0.000546786,0.000546786,0.000546786
9,20.8279,2.20211,2.15889,1.0114,0.02924,0.21318,0.14314,0.0493,2.31098,3.12644,1.04121,0.00061003,0.00061003,0.00061003
10,22.8536,2.38762,1.97989,1.04843,0.0261,0.72688,0.38144,0.22639,2.69376,2.95459,1.2131,0.000671789,0.000671789,0.000671789
11,24.851,2.38966,2.04171,1.0676,0.02747,0.76113,0.42121,0.302,2.1079,2.77538,0.98432,0.000732063,0.000732063,0.000732063
12,26.8212,2.18169,1.86083,0.99956,0.02063,0.81336,0.48997,0.3292,2.17946,2.62985,1.01228,0.000790851,0.000790851,0.000790851
13,28.8732,2.12183,1.89169,1.02564,0.85589,0.07877,0.41504,0.25551,2.10774,2.57999,1.01412,0.000848155,0.000848155,0.000848155
14,30.884,2.2048,1.85765,0.98348,0.01046,0.69863,0.61399,0.26922,2.19916,2.37955,1.00784,0.000903974,0.000903974,0.000903974
15,32.8645,2.09188,1.82872,0.98652,0.50465,0.66438,0.60476,0.28366,2.48116,2.49791,1.09972,0.000958307,0.000958307,0.000958307
16,34.8646,2.09179,1.82051,0.99766,0.82724,0.39726,0.58919,0.3161,1.92791,2.42992,0.94797,0.00101116,0.00101116,0.00101116
17,36.8354,2.08447,1.67841,0.95528,0.86697,0.30894,0.61665,0.3255,1.90674,2.30809,0.93882,0.001052,0.001052,0.001052
18,38.8248,2.15281,1.76294,0.99638,0.79591,0.49486,0.56421,0.36729,1.92511,1.88979,0.9512,0.00103962,0.00103962,0.00103962
19,40.7755,2.03238,1.66592,0.96384,0.81195,0.50199,0.54629,0.36019,1.96914,1.84978,0.95611,0.00102725,0.00102725,0.00102725
20,42.7709,2.10281,1.63682,0.98914,0.82809,0.52933,0.57119,0.335,1.75234,1.78131,0.91058,0.00101488,0.00101488,0.00101488
21,44.7356,1.99692,1.61502,0.96516,0.79245,0.51362,0.57221,0.26767,1.88936,1.59563,0.93987,0.0010025,0.0010025,0.0010025
22,46.7125,1.93111,1.53029,0.9584,0.73379,0.49767,0.54293,0.29449,2.01508,1.44683,0.95143,0.000990125,0.000990125,0.000990125
23,48.6433,2.05763,1.52833,0.9632,0.44027,0.52768,0.544,0.31787,1.8669,1.39856,0.9216,0.00097775,0.00097775,0.00097775
24,50.6392,1.96737,1.59349,0.96654,0.56669,0.52894,0.55367,0.33201,1.88978,1.41714,0.93448,0.000965375,0.000965375,0.000965375
25,52.5552,2.0093,1.59641,0.97836,0.56883,0.49898,0.53794,0.34215,2.07733,1.37996,0.96834,0.000953,0.000953,0.000953
