epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.8796,2.93719,4.8276,1.42727,0,0,0,0,2.09894,5.00427,1.20158,6.25e-05,6.25e-05,6.25e-05
2,67.7537,2.46131,4.40027,1.15012,0,0,0,0,1.77062,4.57276,0.93616,0.000136139,0.000136139,0.000136139
3,100.483,2.12834,3.58063,1.01283,0.00357,0.32962,0.01693,0.00496,1.8858,4.44934,0.91394,0.000208293,0.000208293,0.000208293
4,132.362,2.03702,2.88935,0.9659,0.00186,0.13527,0.03843,0.01487,1.92545,4.35673,0.91584,0.000278961,0.000278961,0.000278961
5,162.787,2.05984,2.49539,0.97422,0.00386,0.39555,0.01784,0.00343,2.54702,4.25484,1.06628,0.000348145,0.000348145,0.000348145
6,193.004,2.09194,2.23013,0.9795,0.02212,0.41866,0.07307,0.02522,1.90599,4.04968,0.90313,0.000415844,0.000415844,0.000415844
7,223.14,2.01188,2.01867,0.96328,0.03318,0.44606,0.09369,0.03245,2.17469,3.89274,0.97776,0.000482057,0.000482057,0.000482057
8,253.513,2.01756,1.94702,0.96423,0.03639,0.46661,0.11425,0.03977,1.7827,3.76036,0.90187,0.000546786,0.000546786,0.000546786
9,283.931,1.91633,1.87137,0.93168,0.03247,0.45634,0.14107,0.05347,1.72317,3.59581,0.91553,0.00061003,0.00061003,0.00061003
10,314.2,1.81968,1.71102,0.9596,0.02635,0.45291,0.1209,0.03976,1.83032,3.50906,0.93047,0.000671789,0.000671789,0.000671789
11,344.52,1.93044,1.70478,0.95182,0.02398,0.45634,0.10619,0.0413,1.65846,3.41416,0.9015,0.000732063,0.000732063,0.000732063
12,375.484,1.77681,1.72617,0.94379,0.02195,0.21661,0.11841,0.03756,2.02538,3.39582,0.95403,0.000790851,0.000790851,0.000790851
13,406.006,1.85378,1.63131,0.93224,0.02767,0.51455,0.39079,0.17706,1.60314,3.1994,0.87179,0.000848155,0.000848155,0.000848155
14,436.769,1.79032,1.58547,0.92494,0.95324,0.08933,0.40094,0.27856,1.84654,2.82432,0.91116,0.000903974,0.000903974,0.000903974
15,466.567,1.85164,1.52328,0.92501,0.94776,0.06484,0.50764,0.35353,1.92998,2.72696,0.93817,0.000958307,0.000958307,0.000958307
16,496.886,1.75156,1.39592,0.92056,0.88352,0.29795,0.47762,0.3264,1.64187,2.57997,0.87114,0.00101116,0.00101116,0.00101116
17,526.99,1.87335,1.56655,0.92581,0.89212,0.31273,0.49823,0.33425,1.68476,2.49678,0.87791,0.001052,0.001052,0.001052
18,556.871,1.72826,1.52295,0.93595,0.90561,0.35946,0.63261,0.3903,1.78695,2.26072,0.94487,0.00103962,0.00103962,0.00103962
19,587.34,2.19994,1.52638,1.00205,0.91681,0.36412,0.63619,0.39834,1.95538,2.19575,0.97401,0.00102725,0.00102725,0.00102725
20,617.504,2.12373,1.44496,0.98934,0.60631,0.49463,0.58954,0.41021,1.5763,2.10673,0.90929,0.00101488,0.00101488,0.00101488
21,647.73,1.70984,1.4153,0.91703,0.56218,0.50317,0.57936,0.36834,1.57527,2.11048,0.89158,0.0010025,0.0010025,0.0010025
22,677.915,1.75361,1.41594,0.9138,0.75428,0.54281,0.60593,0.42214,1.51757,1.72851,0.90198,0.000990125,0.000990125,0.000990125
