epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.55638,3.08994,4.94576,1.63278,0,0,0,0,2.58859,4.65487,1.59921,6.25e-05,6.25e-05,6.25e-05
2,6.78345,2.72216,4.53163,1.38598,0,0,0,0,1.63347,4.45214,1.06794,0.000136139,0.000136139,0.000136139
3,8.91371,2.18797,3.85175,1.04844,0,0,0,0,1.74112,4.24785,0.90961,0.000208293,0.000208293,0.000208293
4,10.9509,2.06179,2.96841,0.98347,0.00094,0.25342,0.0135,0.00921,1.97366,4.13374,0.94538,0.000278961,0.000278961,0.000278961
5,12.9981,2.11397,2.56135,1.01081,0.00681,0.39555,0.0906,0.06743,1.96868,4.05424,0.96432,0.000348145,0.000348145,0.000348145
6,15.0179,2.02643,2.34841,0.9749,0.00713,0.39212,0.11069,0.04306,1.81386,3.90269,0.9156,0.000415844,0.000415844,0.000415844
7,17.0671,1.8727,1.88869,0.97077,0.01892,0.36729,0.28981,0.11393,1.63995,3.72406,0.87478,0.000482057,0.000482057,0.000482057
8,19.13,1.91647,1.81815,0.95354,0.03374,0.42894,0.35418,0.13461,1.68926,3.54647,0.9011,0.000546786,0.000546786,0.000546786
9,21.1632,1.88435,1.89801,0.95141,0.01803,0.39812,0.32532,0.13514,1.59717,3.58357,0.86993,0.00061003,0.00061003,0.00061003
10,23.1537,1.89985,1.65182,0.94621,0.02014,0.42894,0.3517,0.14628,1.59421,3.43604,0.87997,0.000671789,0.000671789,0.000671789
11,25.1424,1.91893,1.67648,0.9604,0.02289,0.47003,0.38294,0.16887,1.5268,3.23271,0.84965,0.000732063,0.000732063,0.000732063
12,27.1299,1.75228,1.54137,0.93004,0.02186,0.49058,0.41842,0.27555,1.61291,2.96304,0.89203,0.000790851,0.000790851,0.000790851
13,29.1415,1.80996,1.63436,0.95681,0.02163,0.48716,0.11056,0.04551,1.63155,3.13329,0.86517,0.000848155,0.000848155,0.000848155
14,31.119,1.92003,1.60978,0.92913,0.02382,0.52483,0.41182,0.21761,1.60909,2.80638,0.8926,0.000903974,0.000903974,0.000903974
15,33.0834,1.80998,1.50561,0.93462,0.02454,0.79538,0.45826,0.26908,1.69803,2.57047,0.9169,0.000958307,0.000958307,0.000958307
16,35.0407,1.80137,1.52412,0.93598,0.82894,0.35959,0.53462,0.34789,1.65763,2.45027,0.89597,0.00101116,0.00101116,0.00101116
17,36.9823,1.81189,1.42804,0.91371,0.87367,0.27055,0.52251,0.36411,1.69746,2.35441,0.8889,0.001052,0.001052,0.001052
18,38.9419,1.80685,1.44443,0.93694,0.84638,0.53302,0.57887,0.40616,1.59095,1.90534,0.8991,0.00103962,0.00103962,0.00103962
19,40.9076,1.75886,1.39103,0.9144,0.7952,0.57021,0.58387,0.43556,1.49455,1.77548,0.87895,0.00102725,0.00102725,0.00102725
20,42.9234,1.79299,1.38539,0.93165,0.8358,0.56678,0.63617,0.46418,1.5336,1.55505,0.89613,0.00101488,0.00101488,0.00101488
21,44.9184,1.72929,1.34685,0.92578,0.84061,0.54966,0.62986,0.42259,1.92723,1.60367,0.98348,0.0010025,0.0010025,0.0010025
22,46.8923,1.67497,1.33626,0.91383,0.80162,0.54281,0.6479,0.46187,1.65512,1.4842,0.91915,0.000990125,0.000990125,0.000990125
23,48.8605,1.71741,1.33738,0.90499,0.82371,0.53701,0.64538,0.44929,1.54577,1.3994,0.8992,0.00097775,0.00097775,0.00097775
24,50.862,1.62025,1.33199,0.91612,0.88447,0.53037,0.65835,0.45467,1.67973,1.32511,0.91956,0.000965375,0.000965375,0.000965375
25,52.8135,1.80601,1.39639,0.93512,0.8489,0.54226,0.6626,0.46708,1.61032,1.29443,0.91395,0.000953,0.000953,0.000953
26,54.8302,1.75686,1.29967,0.89814,0.8071,0.5521,0.73096,0.50483,1.50575,1.32523,0.89121,0.000940625,0.000940625,0.000940625
27,56.7826,1.79327,1.37408,0.92023,0.81906,0.54687,0.72026,0.47951,1.46017,1.22125,0.88757,0.00092825,0.00092825,0.00092825
28,58.7735,1.74928,1.2543,0.91477,0.86147,0.57057,0.71094,0.48848,1.5058,1.08286,0.89233,0.000915875,0.000915875,0.000915875
29,60.729,1.65026,1.2586,0.90412,0.87585,0.58396,0.72594,0.48766,1.45184,1.06762,0.88274,0.0009035,0.0009035,0.0009035
30,62.6839,1.57485,1.16695,0.90683,0.89596,0.54964,0.64311,0.46019,1.5029,0.98453,0.89213,0.000891125,0.000891125,0.000891125
31,64.6893,1.70871,1.17182,0.91622,0.86644,0.55425,0.6408,0.4577,1.50742,0.9865,0.88982,0.00087875,0.00087875,0.00087875
32,66.7141,1.62924,1.2331,0.91189,0.86314,0.55617,0.71211,0.51891,1.41183,0.95336,0.87551,0.000866375,0.000866375,0.000866375
