epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.07673,3.93275,4.9427,2.04756,0,0,0,0,4.53874,4.69758,2.92354,6.25e-05,6.25e-05,6.25e-05
2,7.30418,3.31756,4.60515,1.52729,0,0,0,0,2.74313,4.46578,1.20755,0.000136139,0.000136139,0.000136139
3,9.42198,2.74704,4.13086,1.14198,0.00133,0.31592,0.00225,0.00054,2.53855,4.3096,1.05449,0.000208293,0.000208293,0.000208293
4,11.4473,2.50749,3.37617,1.07782,0.00141,0.31592,0.00267,0.00049,2.43008,4.25245,1.07724,0.000278961,0.000278961,0.000278961
5,13.5192,2.44499,2.83974,1.08557,0,0,0,0,2.30704,4.08751,1.03404,0.000348145,0.000348145,0.000348145
6,15.589,2.33091,2.59138,1.04696,0.01093,0.10017,0.01284,0.00428,2.47914,3.84608,1.07274,0.000415844,0.000415844,0.000415844
7,17.6895,2.17934,2.22164,1.02047,0.01832,0.04795,0.02526,0.01199,2.1747,3.74759,0.9892,0.000482057,0.000482057,0.000482057
8,19.7242,2.22567,2.13641,1.0026,0.04101,0.10616,0.05506,0.01653,2.27557,3.61089,1.01727,0.000546786,0.000546786,0.000546786
9,21.7445,2.18678,2.26668,0.99759,0.04619,0.35959,0.09824,0.0339,2.16378,3.47425,0.99296,0.00061003,0.00061003,0.00061003
10,23.763,2.23112,2.02511,1.00362,0.03548,0.36986,0.09269,0.03082,2.33453,3.30222,1.04906,0.000671789,0.000671789,0.000671789
11,25.7502,2.22012,2.01821,1.02308,0.03647,0.35531,0.20933,0.08768,2.04581,3.08785,0.97313,0.000732063,0.000732063,0.000732063
12,27.7344,2.10039,1.88765,0.98468,0.02992,0.59846,0.48224,0.30636,2.08478,2.81914,1.00461,0.000790851,0.000790851,0.000790851
13,29.6976,2.12798,1.88074,1.02634,0.0291,0.62243,0.42342,0.20003,1.91572,2.96117,0.95827,0.000848155,0.000848155,0.000848155
