epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.03219,4.06522,4.86592,2.20401,0,0,0,0,4.49276,4.67231,3.21622,6.25e-05,6.25e-05,6.25e-05
2,6.15651,3.4902,4.54532,1.608,0.00025,0.25,0.00027,5e-05,3.16361,4.48154,1.30459,0.000136139,0.000136139,0.000136139
3,8.27495,2.96199,4.12134,1.16011,0.00031,0.125,0.00031,7e-05,2.81737,4.32274,1.11904,0.000208293,0.000208293,0.000208293
4,10.3647,2.68828,3.39464,1.09591,0.0027,0.07962,0.01002,0.00227,2.68063,4.24411,1.16057,0.000278961,0.000278961,0.000278961
5,12.4844,2.58421,2.9132,1.11155,0.00367,0.08647,0.02027,0.00332,2.43613,4.08081,1.06356,0.000348145,0.000348145,0.000348145
6,14.6195,2.51923,2.65788,1.0725,0.0039,0.14897,0.0111,0.00493,2.56729,3.86679,1.08344,0.000415844,0.000415844,0.000415844
7,16.701,2.28571,2.23275,1.04339,0.00573,0.39897,0.02579,0.00791,2.37097,3.85678,1.01652,0.000482057,0.000482057,0.000482057
8,18.7629,2.33907,2.2614,1.02481,0.018,0.38099,0.04383,0.01456,2.57086,3.73604,1.0976,0.000546786,0.000546786,0.000546786
9,20.893,2.29374,2.33108,1.0265,0.01924,0.45034,0.0547,0.0165,2.25305,3.57935,1.03724,0.00061003,0.00061003,0.00061003
10,22.9054,2.26495,2.03895,1.00353,0.02062,0.49144,0.08414,0.02584,2.34735,3.32316,1.0762,0.000671789,0.000671789,0.000671789
11,24.9747,2.23664,2.00349,1.03088,0.01787,0.51884,0.06768,0.01896,2.3638,3.05482,1.06853,0.000732063,0.000732063,0.000732063
12,26.9762,2.22165,1.99426,1.01425,0.02128,0.81678,0.0946,0.02823,2.1947,2.88244,1.00601,0.000790851,0.000790851,0.000790851
13,28.9636,2.17371,2.0001,1.03388,0.0157,0.58476,0.16674,0.10136,2.52155,2.85933,1.11201,0.000848155,0.000848155,0.000848155
14,30.9783,2.2399,1.92882,0.9949,0.01306,0.26541,0.18519,0.10692,2.59783,2.7422,1.16112,0.000903974,0.000903974,0.000903974
15,32.9407,2.07612,1.85615,0.97795,0.01104,0.30394,0.1764,0.09718,2.74875,2.62134,1.23805,0.000958307,0.000958307,0.000958307
16,34.9093,1.9896,1.8087,0.97799,0.86424,0.07192,0.49327,0.30996,2.50918,2.32834,1.15386,0.00101116,0.00101116,0.00101116
17,36.8878,2.0871,1.6699,0.95721,0.81989,0.19692,0.50445,0.29485,2.23655,2.34585,1.03138,0.001052,0.001052,0.001052
18,38.8653,2.07944,1.74973,0.98071,0.82973,0.38524,0.5138,0.31414,2.10795,2.31965,0.99755,0.00103962,0.00103962,0.00103962
19,40.8373,2.03886,1.61606,0.96167,0.70978,0.42425,0.53229,0.32811,2.01146,2.12673,0.97607,0.00102725,0.00102725,0.00102725
20,42.8498,2.08172,1.60599,0.97771,0.63897,0.48116,0.54208,0.32166,1.99183,1.82154,0.98168,0.00101488,0.00101488,0.00101488
21,44.8121,2.03588,1.64736,0.96982,0.71426,0.48359,0.55485,0.3114,2.22731,1.76313,1.03495,0.0010025,0.0010025,0.0010025
22,46.8038,1.95119,1.51193,0.96901,0.73272,0.44873,0.57082,0.32857,1.91839,1.77231,0.95678,0.000990125,0.000990125,0.000990125
