epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.89861,3.51464,5.28037,1.83219,0,0,0,0,3.04527,4.87898,1.71017,6.25e-05,6.25e-05,6.25e-05
2,7.22239,3.44926,4.93272,1.70832,0,0,0,0,2.36113,4.55819,1.28543,0.000136139,0.000136139,0.000136139
3,9.36167,2.88672,4.63833,1.3612,0,0,0,0,2.31032,4.39197,1.09598,0.000208293,0.000208293,0.000208293
4,11.4742,2.64208,4.00909,1.16837,0,0,0,0,2.32904,4.28042,1.04249,0.000278961,0.000278961,0.000278961
5,13.5871,2.64904,3.73938,1.16345,0,0,0,0,2.43425,4.18158,1.05414,0.000348145,0.000348145,0.000348145
6,15.6269,2.59795,3.36607,1.12502,0.00301,0.00685,0.00261,0.00093,2.6699,4.01753,1.11537,0.000415844,0.000415844,0.000415844
7,17.7015,2.41807,2.84265,1.08791,0.0155,0.0274,0.01844,0.00567,2.39498,3.81993,1.03904,0.000482057,0.000482057,0.000482057
8,19.7512,2.48887,2.75472,1.07802,0.01636,0.06164,0.01202,0.0038,2.68709,3.70167,1.15189,0.000546786,0.000546786,0.000546786
9,21.7924,2.4297,2.6974,1.05683,0.01735,0.09247,0.01429,0.00505,2.3554,3.5888,1.01207,0.00061003,0.00061003,0.00061003
10,23.8478,2.40711,2.41137,1.03668,0.0158,0.11644,0.01936,0.00748,2.23799,3.37232,1.00623,0.000671789,0.000671789,0.000671789
11,25.8505,2.37346,2.259,1.05923,0.01589,0.16438,0.03286,0.01051,2.22003,3.15986,1.00192,0.000732063,0.000732063,0.000732063
12,27.8865,2.2964,2.14626,1.03416,0.0129,0.18151,0.02392,0.00819,2.38401,3.22137,1.01557,0.000790851,0.000790851,0.000790851
13,29.8805,2.24318,2.11422,1.05794,0.01181,0.20205,0.04053,0.01173,2.2852,3.52069,0.99306,0.000848155,0.000848155,0.000848155
14,31.9921,2.36588,2.134,1.02535,0.56904,0.11986,0.06567,0.02381,2.11521,2.84107,0.98091,0.000903974,0.000903974,0.000903974
15,33.9799,2.1674,2.01494,1.00149,0.56684,0.045,0.14003,0.07488,2.38537,2.64299,1.04458,0.000958307,0.000958307,0.000958307
16,36.1003,2.1316,1.9747,1.0074,0.58872,0.12671,0.15422,0.06164,2.02378,2.49852,0.95666,0.00101116,0.00101116,0.00101116
17,38.0526,2.16368,1.89037,0.97257,0.90251,0.10181,0.14046,0.04926,2.03961,2.43897,0.95652,0.001052,0.001052,0.001052
