epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.44662,4.29723,5.10084,2.29622,0,0,0,0,4.6326,4.64523,3.02487,6.25e-05,6.25e-05,6.25e-05
2,6.72352,3.75229,4.72273,1.72829,0,0,0,0,3.67078,4.48547,1.4502,0.000136139,0.000136139,0.000136139
3,8.87697,3.27927,4.49148,1.26907,0.00041,0.3125,0.00176,0.00018,3.18499,4.38741,1.19026,0.000208293,0.000208293,0.000208293
4,10.9496,2.95168,3.78967,1.14192,0,0,0,0,2.9492,4.31363,1.15191,0.000278961,0.000278961,0.000278961
5,12.9896,2.835,3.31363,1.1853,0,0,0,0,2.95813,4.19154,1.19252,0.000348145,0.000348145,0.000348145
6,15.0039,2.86372,2.93645,1.17825,0.00238,0.00342,0.00151,0.00015,2.80646,3.97338,1.17675,0.000415844,0.000415844,0.000415844
7,17.0499,2.67902,2.53025,1.15713,0.01603,0.1036,0.02181,0.00604,2.83603,3.8004,1.16354,0.000482057,0.000482057,0.000482057
8,19.1004,2.68304,2.47871,1.10892,0.00737,0.03425,0.01076,0.00254,2.68895,3.80462,1.10134,0.000546786,0.000546786,0.000546786
9,21.1489,2.54885,2.49776,1.08322,0.0167,0.11301,0.04469,0.00976,2.82847,3.46694,1.16621,0.00061003,0.00061003,0.00061003
10,23.147,2.56474,2.26437,1.07523,0.01225,0.11644,0.03855,0.00806,2.87512,3.33873,1.17715,0.000671789,0.000671789,0.000671789
11,25.1424,2.55332,2.38623,1.09678,0.01017,0.12329,0.02884,0.00744,2.90513,3.14754,1.2117,0.000732063,0.000732063,0.000732063
12,27.0975,2.51914,2.1971,1.09279,0.01192,0.11644,0.04005,0.0096,2.99078,3.00047,1.24651,0.000790851,0.000790851,0.000790851
13,29.0882,2.44005,2.26786,1.1015,0.01842,0.16781,0.07611,0.02239,2.54966,2.94148,1.07401,0.000848155,0.000848155,0.000848155
14,31.0855,2.53976,2.21132,1.0449,0.81177,0.10616,0.06934,0.01893,2.63577,2.85998,1.12443,0.000903974,0.000903974,0.000903974
15,33.0585,2.44191,2.20669,1.0568,0.27993,0.10616,0.03542,0.00845,3.21182,2.86133,1.34506,0.000958307,0.000958307,0.000958307
16,35.0632,2.41878,2.10142,1.07004,0.86049,0.11122,0.15105,0.06163,2.49086,2.63882,1.07046,0.00101116,0.00101116,0.00101116
17,37.0356,2.44879,2.01681,1.02198,0.84057,0.04795,0.12928,0.06319,2.51892,2.69498,1.05643,0.001052,0.001052,0.001052
18,39.0196,2.43706,2.08261,1.04542,0.87508,0.10959,0.23746,0.12537,2.42706,2.27288,1.03497,0.00103962,0.00103962,0.00103962
19,40.9672,2.3699,1.92204,1.029,0.871,0.12329,0.29178,0.15616,2.44487,2.19438,1.03982,0.00102725,0.00102725,0.00102725
20,43.0098,2.39454,1.94815,1.04272,0.85945,0.13014,0.50149,0.31529,2.46104,2.07722,1.05775,0.00101488,0.00101488,0.00101488
21,44.9934,2.3551,2.01004,1.03469,0.78855,0.24144,0.27723,0.14534,2.674,2.01715,1.1235,0.0010025,0.0010025,0.0010025
22,46.9655,2.25519,1.86057,1.03103,0.85676,0.23285,0.41483,0.20454,2.49931,1.86111,1.07435,0.000990125,0.000990125,0.000990125
23,48.9461,2.34462,1.90124,1.01478,0.7182,0.50113,0.48197,0.2333,2.38687,1.92896,1.02375,0.00097775,0.00097775,0.00097775
24,50.9266,2.3239,1.97252,1.03358,0.6647,0.49144,0.51086,0.29676,2.4351,1.73792,1.04165,0.000965375,0.000965375,0.000965375
25,52.8987,2.32276,1.96865,1.02697,0.80344,0.44086,0.51118,0.26863,2.46698,1.70668,1.04992,0.000953,0.000953,0.000953
26,55.0222,2.34608,1.81519,0.99993,0.75732,0.43322,0.48045,0.26555,2.36949,1.76694,1.00606,0.000940625,0.000940625,0.000940625
27,56.963,2.34408,1.97336,1.00428,0.84588,0.4258,0.49989,0.26674,2.38789,1.78785,1.01102,0.00092825,0.00092825,0.00092825
28,58.9674,2.29269,1.84446,0.99316,0.84103,0.44007,0.51916,0.26383,2.37807,1.60156,1.02646,0.000915875,0.000915875,0.000915875
29,60.959,2.21572,1.72389,0.99293,0.78577,0.44007,0.50293,0.2479,2.40712,1.56258,1.04451,0.0009035,0.0009035,0.0009035
30,62.9548,2.07818,1.59774,0.9963,0.64781,0.47476,0.51203,0.23757,2.44471,1.57602,1.04438,0.000891125,0.000891125,0.000891125
31,64.9321,2.23767,1.66044,0.99057,0.66414,0.49295,0.51036,0.19687,2.38905,1.51812,1.028,0.00087875,0.00087875,0.00087875
32,66.897,2.1684,1.72224,0.99939,0.66653,0.49368,0.524,0.20231,2.30014,1.55962,1.0109,0.000866375,0.000866375,0.000866375
33,68.8987,2.12324,1.65878,0.98928,0.6619,0.52226,0.53019,0.1999,2.33775,1.52989,1.03062,0.000854,0.000854,0.000854
34,70.8924,2.24085,1.57322,0.99191,0.81211,0.4704,0.53954,0.27284,2.35676,1.49166,1.03494,0.000841625,0.000841625,0.000841625
35,72.8278,2.13698,1.68011,0.99643,0.74946,0.50038,0.55915,0.27356,2.32337,1.47366,1.02875,0.00082925,0.00082925,0.00082925
36,74.823,2.13777,1.62688,1.0219,0.8396,0.42753,0.55314,0.26882,2.37713,1.4657,1.04428,0.000816875,0.000816875,0.000816875
37,76.777,2.33824,1.61369,1.03184,0.58943,0.42119,0.5463,0.27403,2.39045,1.47412,1.04963,0.0008045,0.0008045,0.0008045
38,78.7587,2.04834,1.55212,0.9934,0.78302,0.46938,0.50726,0.24916,2.32269,1.45388,1.02366,0.000792125,0.000792125,0.000792125
39,80.7112,2.08604,1.58971,0.99669,0.91822,0.47845,0.54064,0.27573,2.3547,1.48935,1.04445,0.00077975,0.00077975,0.00077975
40,82.6643,2.13092,1.56665,1.00833,0.75941,0.47432,0.48562,0.23855,2.62665,1.58006,1.12122,0.000767375,0.000767375,0.000767375
41,84.6135,2.05935,1.4811,0.9898,0.75264,0.49829,0.4943,0.26826,2.4746,1.55405,1.07951,0.000755,0.000755,0.000755
42,86.5721,2.0475,1.43822,0.97821,0.78274,0.51884,0.53074,0.30951,2.33651,1.42584,1.02548,0.000742625,0.000742625,0.000742625
43,88.5026,2.11565,1.5094,0.97496,0.85283,0.50171,0.54424,0.33109,2.31288,1.36907,1.01861,0.00073025,0.00073025,0.00073025
44,90.5156,2.06556,1.42206,0.98138,0.87275,0.40228,0.53765,0.27773,2.60479,1.45685,1.10565,0.000717875,0.000717875,0.000717875
45,92.4354,2.04422,1.4022,0.97954,0.8874,0.41945,0.54462,0.30345,2.42738,1.3569,1.05368,0.0007055,0.0007055,0.0007055
46,94.4765,1.99804,1.39807,0.96626,0.67538,0.50171,0.56351,0.31042,2.11749,1.34359,0.98196,0.000693125,0.000693125,0.000693125
47,96.4173,2.02941,1.60122,0.95902,0.64791,0.47774,0.56245,0.34375,2.16918,1.37867,0.99092,0.00068075,0.00068075,0.00068075
48,98.4259,2.13322,1.46656,0.96397,0.46958,0.46609,0.58719,0.31276,2.25676,1.40955,1.00887,0.000668375,0.000668375,0.000668375
49,100.42,2.11579,1.45169,0.94879,0.38862,0.49486,0.56722,0.32251,2.20705,1.40815,0.99373,0.000656,0.000656,0.000656
50,102.368,2.00694,1.45791,0.97177,0.36649,0.49829,0.52475,0.26758,2.28461,1.37101,1.0346,0.000643625,0.000643625,0.000643625
51,104.316,2.03357,1.40834,0.98692,0.69925,0.46543,0.53108,0.26357,2.41737,1.43485,1.07458,0.00063125,0.00063125,0.00063125
52,106.292,2.03187,1.38851,0.97097,0.35709,0.49829,0.52153,0.28361,2.41169,1.45439,1.06108,0.000618875,0.000618875,0.000618875
53,108.213,1.9818,1.42899,0.963,0.63389,0.50337,0.55898,0.30617,2.20914,1.33522,1.01935,0.0006065,0.0006065,0.0006065
54,110.224,1.87337,1.28522,0.94765,0.64025,0.49144,0.55584,0.32297,2.07409,1.30087,0.98198,0.000594125,0.000594125,0.000594125
55,112.145,1.97817,1.41126,0.97139,0.6754,0.50328,0.54971,0.3416,2.04955,1.29705,0.9689,0.00058175,0.00058175,0.00058175
56,114.093,1.98576,1.34527,0.96184,0.63771,0.53168,0.55299,0.33682,2.16659,1.28289,0.99265,0.000569375,0.000569375,0.000569375
57,116.022,1.95595,1.39266,0.96674,0.7053,0.50032,0.5269,0.35252,2.27578,1.33799,1.01719,0.000557,0.000557,0.000557
58,117.987,1.90203,1.35014,0.94981,0.74731,0.49144,0.5316,0.32694,2.29688,1.30774,1.02834,0.000544625,0.000544625,0.000544625
59,119.949,1.95165,1.32589,0.94543,0.72896,0.50184,0.55742,0.33604,2.21934,1.27247,1.00736,0.00053225,0.00053225,0.00053225
60,121.904,1.82974,1.28058,0.94356,0.47199,0.5007,0.56042,0.31799,2.23553,1.29567,1.01657,0.000519875,0.000519875,0.000519875
61,123.821,1.96044,1.3634,0.9547,0.47145,0.50853,0.55019,0.3133,2.2258,1.3181,1.00837,0.0005075,0.0005075,0.0005075
62,125.81,1.87658,1.28228,0.93771,0.49817,0.51199,0.57481,0.31922,2.19587,1.29294,1.00629,0.000495125,0.000495125,0.000495125
63,127.725,1.88853,1.29126,0.95587,0.82491,0.45377,0.56787,0.34191,2.23286,1.28693,1.00857,0.00048275,0.00048275,0.00048275
64,129.715,1.93062,1.25472,0.95105,0.80984,0.44826,0.55126,0.27974,2.37193,1.31197,1.04025,0.000470375,0.000470375,0.000470375
65,131.696,1.81614,1.18005,0.95038,0.86398,0.44663,0.5681,0.28556,2.33378,1.30271,1.02071,0.000458,0.000458,0.000458
66,133.769,1.77655,1.24669,0.93438,0.86928,0.42323,0.57129,0.28311,2.19474,1.2614,0.98704,0.000445625,0.000445625,0.000445625
67,135.738,1.88364,1.28325,0.92516,0.94112,0.39297,0.56386,0.31429,2.178,1.25222,0.98081,0.00043325,0.00043325,0.00043325
68,137.736,1.86254,1.20616,0.95101,0.4626,0.50659,0.55876,0.34944,2.13678,1.28099,0.98074,0.000420875,0.000420875,0.000420875
69,139.666,1.88795,1.21377,0.93909,0.80527,0.45113,0.56245,0.34744,2.13366,1.27344,0.98239,0.0004085,0.0004085,0.0004085
70,141.683,1.91613,1.24972,0.93938,0.90349,0.44664,0.56614,0.33297,2.16566,1.23754,0.98639,0.000396125,0.000396125,0.000396125
71,143.606,1.91539,1.23916,0.93634,0.86707,0.45892,0.57692,0.3232,2.17922,1.22288,0.98864,0.00038375,0.00038375,0.00038375
72,145.565,1.87042,1.22952,0.95046,0.8635,0.46096,0.56766,0.34468,2.22494,1.21527,0.99741,0.000371375,0.000371375,0.000371375
73,147.499,1.91865,1.34791,0.9609,0.75283,0.45395,0.5512,0.34315,2.1829,1.18667,0.98882,0.000359,0.000359,0.000359
74,149.469,1.85582,1.3107,0.95764,0.43026,0.51884,0.57698,0.40817,2.13418,1.27379,0.97555,0.000346625,0.000346625,0.000346625
75,151.415,1.97735,1.3155,0.96041,0.43012,0.51541,0.56814,0.32221,2.1409,1.30785,0.97878,0.00033425,0.00033425,0.00033425
76,153.465,1.85684,1.22611,0.92624,0.84951,0.45359,0.56815,0.3261,2.17964,1.23526,0.9901,0.000321875,0.000321875,0.000321875
77,155.408,1.94955,1.28395,0.94594,0.91028,0.46201,0.5736,0.32125,2.26456,1.22925,1.01178,0.0003095,0.0003095,0.0003095
78,157.452,1.87078,1.24344,0.95077,0.63467,0.47774,0.58873,0.31907,2.23353,1.22856,1.01361,0.000297125,0.000297125,0.000297125
79,159.378,1.85894,1.20946,0.9458,0.65034,0.48646,0.60359,0.3535,2.14154,1.23515,0.99653,0.00028475,0.00028475,0.00028475
80,161.342,1.77369,1.21318,0.9342,0.65968,0.49486,0.59795,0.36655,2.06724,1.21841,0.98473,0.000272375,0.000272375,0.000272375
81,163.246,1.786,1.15224,0.92264,0.63902,0.47919,0.60429,0.35577,2.05563,1.21554,0.98095,0.00026,0.00026,0.00026
82,165.199,1.83501,1.15586,0.92921,0.57444,0.49553,0.60638,0.34939,2.06683,1.23514,0.98638,0.000247625,0.000247625,0.000247625
83,167.199,1.72984,1.10016,0.92336,0.54631,0.48943,0.63118,0.37761,2.07313,1.25845,0.99056,0.00023525,0.00023525,0.00023525
84,169.17,1.74366,1.12117,0.93329,0.43744,0.7731,0.63173,0.40293,2.08269,1.24591,0.98783,0.000222875,0.000222875,0.000222875
85,171.094,1.80923,1.16231,0.94252,0.41969,0.75773,0.62656,0.40204,2.08152,1.24236,0.98293,0.0002105,0.0002105,0.0002105
86,173.121,1.79058,1.17688,0.93074,0.55639,0.48468,0.57913,0.39353,2.06932,1.22521,0.97927,0.000198125,0.000198125,0.000198125
87,175.152,1.78362,1.20052,0.91434,0.55337,0.48281,0.58395,0.39327,2.09081,1.22051,0.9791,0.00018575,0.00018575,0.00018575
88,177.146,1.76103,1.11969,0.91203,0.81433,0.46552,0.58279,0.39347,2.06451,1.19183,0.97127,0.000173375,0.000173375,0.000173375
89,179.113,1.7514,1.08742,0.93792,0.81529,0.46062,0.59017,0.39404,2.03809,1.19118,0.96643,0.000161,0.000161,0.000161
90,181.073,1.81041,1.11978,0.92929,0.81996,0.45021,0.59337,0.39753,2.0302,1.18243,0.96714,0.000148625,0.000148625,0.000148625
91,204.17,1.74688,1.23803,0.93363,0.57679,0.45647,0.58862,0.39756,2.01207,1.17739,0.96424,0.00013625,0.00013625,0.00013625
92,206.25,1.73296,1.18528,0.94574,0.48057,0.79928,0.60992,0.39762,1.99527,1.15921,0.96226,0.000123875,0.000123875,0.000123875
93,208.174,1.75538,1.252,0.93479,0.45271,0.80308,0.60251,0.39833,1.98228,1.14284,0.95958,0.0001115,0.0001115,0.0001115
94,210.149,1.65824,1.18782,0.92141,0.4397,0.75978,0.61429,0.40524,1.98309,1.14708,0.9613,9.9125e-05,9.9125e-05,9.9125e-05
95,212.143,1.69528,1.17792,0.95231,0.84145,0.46747,0.61432,0.40581,1.98885,1.1437,0.96264,8.675e-05,8.675e-05,8.675e-05
96,214.131,1.66119,1.12679,0.93905,0.8593,0.47164,0.60127,0.40394,1.98544,1.12625,0.96515,7.4375e-05,7.4375e-05,7.4375e-05
97,216.066,1.72013,1.1409,0.95108,0.86019,0.47398,0.60217,0.40549,1.98844,1.1278,0.96475,6.2e-05,6.2e-05,6.2e-05
98,218.042,1.68979,1.15229,0.94181,0.86537,0.47202,0.59679,0.40212,1.98822,1.12743,0.96357,4.9625e-05,4.9625e-05,4.9625e-05
99,219.975,1.70892,1.17366,0.9197,0.86935,0.47089,0.5944,0.39866,2.00154,1.13394,0.96735,3.725e-05,3.725e-05,3.725e-05
100,221.946,1.72099,1.12719,0.90986,0.8884,0.47672,0.59764,0.39842,1.99656,1.15542,0.96616,2.4875e-05,2.4875e-05,2.4875e-05
