epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.4776,1.20386,3.55778,1.20056,0.01392,0.7056,0.16014,0.08303,0.92192,3.52694,0.98718,0.000410539,0.000410539,0.000410539
2,46.8866,1.02009,2.21753,1.04804,0.68045,0.364,0.43539,0.33332,0.83612,1.98116,1.01033,0.000819017,0.000819017,0.000819017
3,63.7286,0.95053,1.95271,1.02218,0.30678,0.42883,0.38483,0.31084,0.81451,1.84224,1.01514,0.00121924,0.00121924,0.00121924
4,80.3366,0.96143,1.83541,1.03091,0.39882,0.75309,0.45338,0.37201,0.82016,1.71645,1.02726,0.00121287,0.00121287,0.00121287
5,96.8257,0.91711,1.62733,1.01733,0.34453,0.48465,0.43055,0.34562,0.81561,1.31416,1.02584,0.0012005,0.0012005,0.0012005
6,113.308,0.90002,1.58327,1.00882,0.4172,0.59789,0.5395,0.44541,0.76117,1.22372,0.98242,0.00118812,0.00118812,0.00118812
7,129.735,0.89965,1.44121,1.00901,0.30255,0.64068,0.46433,0.36634,0.84415,1.43861,1.02382,0.00117575,0.00117575,0.00117575
8,146.262,0.89701,1.37265,1.00783,0.40834,0.53096,0.53057,0.42115,0.80197,1.18246,1.00477,0.00116337,0.00116337,0.00116337
9,162.742,0.87392,1.3512,1.00658,0.42876,0.60291,0.47848,0.39827,0.7366,1.16836,0.96367,0.001151,0.001151,0.001151
10,179.305,0.83268,1.26482,0.98761,0.41904,0.66138,0.56058,0.47311,0.73287,1.01146,0.96594,0.00113863,0.00113863,0.00113863
11,195.874,0.82971,1.23365,0.98463,0.33519,0.70429,0.50745,0.41986,0.74318,1.1571,0.9862,0.00112625,0.00112625,0.00112625
12,212.364,0.85572,1.20048,0.99417,0.49427,0.64288,0.5657,0.47233,0.76257,1.03429,0.97874,0.00111388,0.00111388,0.00111388
13,228.839,0.83105,1.21583,0.97798,0.45187,0.61829,0.5109,0.42019,0.75017,1.29002,0.98225,0.0011015,0.0011015,0.0011015
14,245.437,0.83634,1.17831,0.98575,0.44454,0.73181,0.5685,0.4764,0.75464,1.08893,0.98271,0.00108913,0.00108913,0.00108913
15,261.939,0.80882,1.14409,0.97245,0.42705,0.76564,0.61774,0.51065,0.7208,1.05058,0.97151,0.00107675,0.00107675,0.00107675
16,278.554,0.82571,1.1349,0.97255,0.60734,0.58983,0.57973,0.47258,0.77282,0.99539,0.99355,0.00106437,0.00106437,0.00106437
17,295.093,0.80426,1.10722,0.97774,0.50847,0.62629,0.59604,0.48812,0.73278,1.08529,0.96544,0.001052,0.001052,0.001052
18,311.645,0.81804,1.09631,0.98231,0.48948,0.69007,0.59225,0.49102,0.7119,1.08332,0.96271,0.00103962,0.00103962,0.00103962
19,328.19,0.79195,1.06603,0.96766,0.57295,0.56497,0.60207,0.50965,0.7093,0.96204,0.95308,0.00102725,0.00102725,0.00102725
20,344.753,0.79548,1.07078,0.97005,0.41128,0.78298,0.58048,0.48057,0.72062,0.96774,0.96444,0.00101488,0.00101488,0.00101488
21,361.252,0.80831,1.0661,0.98381,0.50574,0.68454,0.57206,0.47451,0.75856,0.99221,0.99675,0.0010025,0.0010025,0.0010025
22,377.702,0.78646,1.02992,0.96416,0.64151,0.62475,0.63074,0.51561,0.72826,0.89809,0.97187,0.000990125,0.000990125,0.000990125
23,394.269,0.7882,1.06037,0.97034,0.47986,0.67021,0.58266,0.47674,0.74579,0.93036,0.98087,0.00097775,0.00097775,0.00097775
24,410.755,0.76647,1.00571,0.95703,0.46729,0.69111,0.59398,0.50059,0.7182,1.11025,0.96917,0.000965375,0.000965375,0.000965375
25,427.381,0.76977,1.02072,0.96423,0.55462,0.66616,0.65811,0.56197,0.70664,0.87456,0.95659,0.000953,0.000953,0.000953
26,443.796,0.75848,1.00648,0.95694,0.43797,0.65158,0.56213,0.46793,0.72424,0.98798,0.95722,0.000940625,0.000940625,0.000940625
27,461.236,0.76368,1.02504,0.95585,0.46463,0.69756,0.62082,0.51549,0.70929,0.92355,0.94754,0.00092825,0.00092825,0.00092825
28,477.726,0.7674,1.02002,0.95415,0.51603,0.74711,0.64063,0.53967,0.7072,0.89137,0.94757,0.000915875,0.000915875,0.000915875
29,494.309,0.75594,0.96484,0.95955,0.49651,0.71843,0.65492,0.5471,0.71722,0.89806,0.96902,0.0009035,0.0009035,0.0009035
30,510.731,0.77237,0.96591,0.95825,0.44736,0.67867,0.6147,0.52126,0.70711,0.93578,0.95386,0.000891125,0.000891125,0.000891125
31,527.293,0.74378,0.92813,0.95384,0.48917,0.65554,0.61534,0.51635,0.71667,0.95106,0.97015,0.00087875,0.00087875,0.00087875
32,543.725,0.73416,0.93274,0.9455,0.55189,0.69768,0.6238,0.53048,0.69584,0.98274,0.9479,0.000866375,0.000866375,0.000866375
33,560.2,0.74134,0.92263,0.9403,0.4045,0.80951,0.57962,0.48712,0.71494,1.0552,0.95034,0.000854,0.000854,0.000854
34,576.705,0.74729,0.95112,0.93848,0.53263,0.67014,0.62696,0.52893,0.70082,0.9468,0.9515,0.000841625,0.000841625,0.000841625
35,593.29,0.73977,0.92506,0.94561,0.54646,0.62835,0.62035,0.51818,0.72453,0.9024,0.96112,0.00082925,0.00082925,0.00082925
36,609.998,0.73526,0.93273,0.93136,0.53173,0.7986,0.63379,0.52923,0.7036,0.88138,0.95682,0.000816875,0.000816875,0.000816875
37,626.52,0.74988,0.92156,0.94655,0.43164,0.75661,0.60238,0.51342,0.70491,0.92974,0.95459,0.0008045,0.0008045,0.0008045
38,643.071,0.71535,0.90521,0.94346,0.45884,0.73692,0.6204,0.52332,0.70685,0.88623,0.95976,0.000792125,0.000792125,0.000792125
39,659.662,0.73149,0.90449,0.94658,0.57726,0.61794,0.6136,0.49461,0.71086,0.96576,0.95704,0.00077975,0.00077975,0.00077975
40,676.257,0.73217,0.85073,0.94476,0.5623,0.65087,0.61298,0.52336,0.69667,0.85524,0.95399,0.000767375,0.000767375,0.000767375
41,692.784,0.72626,0.87305,0.9382,0.52951,0.70642,0.62312,0.51404,0.70819,0.91001,0.95646,0.000755,0.000755,0.000755
42,709.328,0.715,0.9015,0.93027,0.59669,0.69456,0.67926,0.571,0.69711,0.84304,0.95231,0.000742625,0.000742625,0.000742625
43,725.748,0.71763,0.87592,0.93334,0.50919,0.71031,0.59965,0.50605,0.70973,0.93476,0.96493,0.00073025,0.00073025,0.00073025
44,742.203,0.73853,0.88315,0.937,0.62683,0.6313,0.6215,0.53021,0.69755,0.92537,0.95006,0.000717875,0.000717875,0.000717875
45,758.62,0.71979,0.86765,0.93363,0.55964,0.60577,0.58821,0.49348,0.70425,0.933,0.95669,0.0007055,0.0007055,0.0007055
46,775.163,0.72187,0.86009,0.93617,0.50916,0.66792,0.61076,0.51979,0.69319,0.93399,0.94573,0.000693125,0.000693125,0.000693125
47,791.718,0.72012,0.83739,0.93488,0.5616,0.63342,0.65344,0.54624,0.69959,0.85392,0.95112,0.00068075,0.00068075,0.00068075
48,808.257,0.71211,0.86118,0.92911,0.63715,0.56603,0.62154,0.52391,0.71954,0.8841,0.96158,0.000668375,0.000668375,0.000668375
49,824.693,0.69821,0.82698,0.92714,0.66714,0.57334,0.61446,0.51981,0.68444,0.88292,0.95122,0.000656,0.000656,0.000656
50,841.16,0.71604,0.82104,0.93263,0.61956,0.57863,0.65174,0.55432,0.66865,0.85716,0.93144,0.000643625,0.000643625,0.000643625
51,857.65,0.68935,0.80903,0.92218,0.57171,0.67723,0.64223,0.54129,0.70867,0.86206,0.95909,0.00063125,0.00063125,0.00063125
52,874.11,0.71068,0.80652,0.92951,0.50426,0.71384,0.6151,0.50683,0.69529,0.88807,0.95117,0.000618875,0.000618875,0.000618875
53,890.641,0.69676,0.8191,0.92428,0.58789,0.73895,0.66883,0.57105,0.66312,0.84677,0.9384,0.0006065,0.0006065,0.0006065
54,907.078,0.69682,0.79641,0.92227,0.64628,0.66069,0.68637,0.59163,0.68667,0.83534,0.94842,0.000594125,0.000594125,0.000594125
55,923.548,0.69104,0.79082,0.92238,0.67286,0.58129,0.6005,0.51051,0.683,0.92848,0.94876,0.00058175,0.00058175,0.00058175
56,939.994,0.68801,0.76843,0.91127,0.65077,0.68811,0.67756,0.57322,0.6998,0.86683,0.95674,0.000569375,0.000569375,0.000569375
57,956.623,0.69989,0.80822,0.93084,0.53937,0.77279,0.65285,0.55173,0.68963,0.93085,0.9551,0.000557,0.000557,0.000557
