epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.542,1.32255,3.95684,1.27342,0.00103,0.09036,0.02448,0.01162,0.95803,4.06913,1.15525,0.000410539,0.000410539,0.000410539
2,36.647,1.13959,2.70397,1.11304,0.11286,0.31667,0.20996,0.14802,1.06962,2.4914,1.1082,0.000819017,0.000819017,0.000819017
3,53.215,1.09852,2.29833,1.08463,0.31432,0.33428,0.3285,0.26256,0.90061,1.77467,1.06806,0.00121924,0.00121924,0.00121924
4,69.627,1.04545,2.08406,1.076,0.22786,0.70996,0.31557,0.25023,0.88744,2.78228,1.07279,0.00121287,0.00121287,0.00121287
5,86.006,1.00804,1.88102,1.0461,0.26747,0.60493,0.33401,0.25283,0.88594,1.65688,1.0522,0.0012005,0.0012005,0.0012005
6,102.367,1.00096,1.75979,1.0501,0.19297,0.55843,0.30638,0.22198,0.96321,1.88008,1.08443,0.00118812,0.00118812,0.00118812
7,118.972,0.99208,1.67121,1.04609,0.25119,0.5899,0.39708,0.31184,0.87376,1.51062,1.01446,0.00117575,0.00117575,0.00117575
8,137.213,0.98748,1.567,1.04052,0.35294,0.56867,0.45877,0.35854,0.85157,1.32736,1.01459,0.00116337,0.00116337,0.00116337
9,153.769,0.96297,1.52068,1.03011,0.28901,0.58443,0.43269,0.35021,0.83467,1.31671,0.99388,0.001151,0.001151,0.001151
10,170.867,0.9333,1.446,1.02004,0.39266,0.63364,0.45609,0.36219,0.80846,1.23532,0.98086,0.00113863,0.00113863,0.00113863
11,188.411,0.92546,1.41163,1.01041,0.34308,0.57931,0.46201,0.37472,0.79701,1.31806,1.00941,0.00112625,0.00112625,0.00112625
12,205.42,0.91169,1.35532,1.0033,0.46145,0.57639,0.49156,0.39218,0.8253,1.24347,0.98191,0.00111388,0.00111388,0.00111388
13,222.582,0.91486,1.38831,0.99423,0.45444,0.5696,0.47577,0.38061,0.82085,1.32402,0.99919,0.0011015,0.0011015,0.0011015
14,239.38,0.90897,1.32237,1.00128,0.31767,0.59872,0.48503,0.387,0.84765,1.27177,1.01621,0.00108913,0.00108913,0.00108913
15,256.392,0.89072,1.28998,0.99915,0.33878,0.57955,0.44129,0.3514,0.8427,1.28013,1.03503,0.00107675,0.00107675,0.00107675
16,273.24,0.90746,1.30367,1.00304,0.33817,0.65272,0.46981,0.35548,0.91067,1.31625,1.04246,0.00106437,0.00106437,0.00106437
17,290.007,0.87753,1.2667,0.99193,0.3387,0.61943,0.48883,0.38933,0.82185,1.17962,0.99899,0.001052,0.001052,0.001052
18,306.813,0.89352,1.26953,0.99673,0.44433,0.60653,0.4823,0.38059,0.80722,1.18473,0.98851,0.00103962,0.00103962,0.00103962
19,323.526,0.85461,1.23426,0.97854,0.38144,0.68909,0.54127,0.44444,0.77434,1.15666,0.97482,0.00102725,0.00102725,0.00102725
