epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4219,0.99506,3.28112,1.09735,0.00251,0.15826,0.05335,0.04006,0.79376,3.62722,0.93579,0.000410539,0.000410539,0.000410539
2,36.84,0.91475,2.08268,1.00481,0.57135,0.36591,0.32613,0.24359,0.81239,2.06275,1.02755,0.000819017,0.000819017,0.000819017
3,53.7369,0.88484,1.8554,1.00219,0.3422,0.55002,0.4706,0.3739,0.79696,1.34043,1.0111,0.00121924,0.00121924,0.00121924
4,70.2812,0.87739,1.70397,1.00533,0.32238,0.64605,0.41926,0.33518,0.81582,1.80793,1.02932,0.00121287,0.00121287,0.00121287
5,87.3269,0.88355,1.54165,1.0035,0.40083,0.52781,0.4625,0.36626,0.81612,1.32683,1.04052,0.0012005,0.0012005,0.0012005
6,104.125,0.84495,1.47828,0.99003,0.39789,0.59714,0.48892,0.40497,0.75616,1.22555,0.98004,0.00118812,0.00118812,0.00118812
7,120.82,0.83706,1.37402,0.99123,0.33104,0.56007,0.49747,0.41802,0.73963,1.20915,0.98312,0.00117575,0.00117575,0.00117575
8,137.362,0.83289,1.30001,0.98809,0.55379,0.58392,0.562,0.45946,0.8079,1.26612,1.01789,0.00116337,0.00116337,0.00116337
9,154.259,0.83599,1.28774,0.99648,0.5715,0.62222,0.57722,0.48811,0.72246,1.06491,0.97082,0.001151,0.001151,0.001151
10,171.349,0.79972,1.20347,0.98275,0.68067,0.49978,0.58519,0.48979,0.72903,1.00759,0.99271,0.00113863,0.00113863,0.00113863
11,188.064,0.79483,1.18275,0.97777,0.38819,0.5943,0.5685,0.47769,0.71337,0.98523,0.97402,0.00112625,0.00112625,0.00112625
12,204.933,0.79829,1.13831,0.97619,0.51782,0.59271,0.54368,0.45334,0.76638,1.1233,0.99186,0.00111388,0.00111388,0.00111388
13,222.369,0.79587,1.15435,0.96659,0.51636,0.60258,0.53995,0.45384,0.72685,1.2137,0.97769,0.0011015,0.0011015,0.0011015
14,239.624,0.79674,1.11658,0.97187,0.42553,0.59204,0.58384,0.48725,0.73299,1.13938,0.96744,0.00108913,0.00108913,0.00108913
15,256.742,0.77402,1.08072,0.96292,0.48142,0.67111,0.58708,0.48991,0.72134,0.99185,0.97477,0.00107675,0.00107675,0.00107675
16,273.796,0.78298,1.07319,0.96319,0.5575,0.61332,0.59336,0.49981,0.71372,0.98834,0.96287,0.00106437,0.00106437,0.00106437
17,290.379,0.76856,1.04802,0.96693,0.50616,0.67223,0.59977,0.50237,0.74074,1.07792,0.97714,0.001052,0.001052,0.001052
18,307.343,0.76988,1.03311,0.97082,0.54002,0.65226,0.61671,0.51372,0.73954,0.98602,0.9783,0.00103962,0.00103962,0.00103962
19,324.282,0.75843,1.00033,0.96265,0.53885,0.64304,0.61797,0.5119,0.69764,0.97227,0.96582,0.00102725,0.00102725,0.00102725
20,341.173,0.76484,1.03081,0.96297,0.37789,0.6553,0.5934,0.49771,0.70573,1.06413,0.96515,0.00101488,0.00101488,0.00101488
21,358.341,0.75359,1.01695,0.96012,0.50336,0.70082,0.56469,0.4631,0.73238,0.97726,0.9699,0.0010025,0.0010025,0.0010025
22,375.282,0.74509,0.9883,0.95384,0.59776,0.66553,0.66337,0.55765,0.70732,0.90033,0.96622,0.000990125,0.000990125,0.000990125
23,392.043,0.7409,0.9928,0.95263,0.47112,0.69532,0.60149,0.50255,0.74775,0.96779,0.99761,0.00097775,0.00097775,0.00097775
