epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.5081,1.43815,4.09515,1.35286,0.00244,0.10096,0.0652,0.03493,1.01685,3.77764,1.07756,0.000410539,0.000410539,0.000410539
2,36.2701,1.17589,2.77758,1.12886,0.90387,0.13462,0.19171,0.11824,1.06102,2.82866,1.11571,0.000819017,0.000819017,0.000819017
3,53.0121,1.0978,2.4005,1.10141,0.35114,0.33828,0.28745,0.21174,0.99278,2.00235,1.08636,0.00121924,0.00121924,0.00121924
4,69.4041,1.09218,2.24498,1.10134,0.38191,0.43793,0.30217,0.22025,0.97935,1.84633,1.08674,0.00121287,0.00121287,0.00121287
5,86.0331,1.04284,1.96031,1.07368,0.36916,0.49002,0.36537,0.28,0.90551,1.67553,1.08222,0.0012005,0.0012005,0.0012005
6,102.442,1.00519,1.88328,1.06309,0.67985,0.31772,0.36972,0.2875,0.90555,1.66803,1.08327,0.00118812,0.00118812,0.00118812
7,118.92,1.01214,1.72134,1.06783,0.36178,0.52165,0.3888,0.30687,0.84534,1.70542,1.02213,0.00117575,0.00117575,0.00117575
8,135.447,0.99733,1.62538,1.05213,0.32942,0.43462,0.38397,0.30191,0.88522,1.79946,1.06167,0.00116337,0.00116337,0.00116337
9,151.881,0.95541,1.56883,1.04321,0.3682,0.61109,0.43353,0.33706,0.8549,1.42113,1.03747,0.001151,0.001151,0.001151
10,168.577,0.91292,1.48947,1.01997,0.34301,0.56176,0.44635,0.35207,0.85532,1.31633,1.043,0.00113863,0.00113863,0.00113863
11,184.973,0.93632,1.48361,1.02545,0.63818,0.41423,0.44313,0.35128,0.84196,1.25908,1.01962,0.00112625,0.00112625,0.00112625
12,201.593,0.92672,1.38883,1.02008,0.52625,0.50983,0.48032,0.39239,0.84999,1.18965,1.03413,0.00111388,0.00111388,0.00111388
13,218.077,0.91567,1.40858,1.01225,0.39175,0.52914,0.47182,0.3884,0.7991,1.22102,0.99505,0.0011015,0.0011015,0.0011015
14,234.555,0.92106,1.36033,1.01037,0.38194,0.58045,0.49139,0.39627,0.82797,1.19526,0.98694,0.00108913,0.00108913,0.00108913
15,250.966,0.90469,1.32499,1.013,0.38167,0.56786,0.50526,0.41091,0.80267,1.2458,0.9952,0.00107675,0.00107675,0.00107675
16,267.499,0.9032,1.29089,1.01096,0.38477,0.62082,0.49377,0.38994,0.88071,1.16189,1.03999,0.00106437,0.00106437,0.00106437
17,284.117,0.87902,1.27189,1.0051,0.41192,0.62135,0.48227,0.38086,0.84255,1.40707,1.02556,0.001052,0.001052,0.001052
18,300.545,0.88951,1.27783,1.00931,0.44466,0.58783,0.48483,0.3777,0.88418,1.17869,1.0294,0.00103962,0.00103962,0.00103962
19,317.097,0.88042,1.23606,0.9981,0.4862,0.48053,0.49254,0.39892,0.80739,1.1417,0.99859,0.00102725,0.00102725,0.00102725
20,333.544,0.87083,1.22983,1.00394,0.46951,0.51449,0.5012,0.40603,0.79543,1.2447,0.98469,0.00101488,0.00101488,0.00101488
21,349.945,0.8808,1.21464,1.00508,0.48178,0.48136,0.49248,0.38583,0.84641,1.19977,1.02162,0.0010025,0.0010025,0.0010025
22,366.302,0.86343,1.2342,0.98751,0.49286,0.51618,0.55473,0.44798,0.80793,1.18909,1.0105,0.000990125,0.000990125,0.000990125
23,382.908,0.85675,1.20876,0.99025,0.57168,0.5144,0.50531,0.40477,0.80244,1.18581,0.99169,0.00097775,0.00097775,0.00097775
24,399.975,0.85609,1.16222,0.98479,0.40652,0.59895,0.49397,0.40165,0.78558,1.13405,0.98388,0.000965375,0.000965375,0.000965375
25,417.412,0.83904,1.16606,0.98316,0.36165,0.47078,0.44831,0.36591,0.80613,1.24137,0.99008,0.000953,0.000953,0.000953
26,434.034,0.83374,1.16554,0.97562,0.51937,0.47999,0.52909,0.43586,0.75589,1.04575,0.9633,0.000940625,0.000940625,0.000940625
27,450.59,0.84266,1.15157,0.97675,0.41508,0.49617,0.47437,0.37079,0.83371,1.1648,1.00035,0.00092825,0.00092825,0.00092825
28,467.009,0.83638,1.12831,0.97584,0.54631,0.52247,0.52829,0.43654,0.75358,1.04754,0.95883,0.000915875,0.000915875,0.000915875
29,483.565,0.82196,1.08417,0.97405,0.42212,0.62135,0.50943,0.41261,0.79063,1.09891,1.00011,0.0009035,0.0009035,0.0009035
30,499.946,0.83274,1.11577,0.97242,0.44415,0.50615,0.47998,0.38656,0.80975,1.16356,0.99995,0.000891125,0.000891125,0.000891125
31,516.454,0.80926,1.07647,0.96181,0.40041,0.57598,0.4986,0.40937,0.80552,1.10057,0.99696,0.00087875,0.00087875,0.00087875
32,532.925,0.80497,1.06552,0.95823,0.46912,0.5392,0.52589,0.43107,0.79043,1.08151,0.97617,0.000866375,0.000866375,0.000866375
33,549.513,0.81114,1.06662,0.95976,0.49075,0.53831,0.52299,0.42571,0.77363,1.11931,0.95725,0.000854,0.000854,0.000854
34,566.048,0.82332,1.09127,0.95627,0.40704,0.6075,0.52271,0.4239,0.77153,1.05564,0.97661,0.000841625,0.000841625,0.000841625
35,582.464,0.79407,1.05507,0.95798,0.44548,0.61319,0.5342,0.42965,0.75784,1.00429,0.96657,0.00082925,0.00082925,0.00082925
36,598.971,0.80608,1.04696,0.95181,0.57003,0.49713,0.55796,0.4552,0.76238,1.01681,0.96908,0.000816875,0.000816875,0.000816875
37,615.506,0.82092,1.03086,0.96533,0.52173,0.62431,0.56502,0.46368,0.76526,0.99609,0.97345,0.0008045,0.0008045,0.0008045
38,631.91,0.77832,1.02653,0.95151,0.47732,0.65529,0.54967,0.44792,0.75107,0.97012,0.95435,0.000792125,0.000792125,0.000792125
39,648.448,0.7927,1.01207,0.95478,0.4656,0.60542,0.55963,0.45094,0.77823,0.98437,0.97248,0.00077975,0.00077975,0.00077975
40,664.911,0.79903,1.0017,0.96221,0.45772,0.56388,0.5246,0.42881,0.77977,1.07506,0.98405,0.000767375,0.000767375,0.000767375
41,681.452,0.8033,0.99965,0.95895,0.51481,0.54283,0.53803,0.43952,0.77003,1.00538,0.9822,0.000755,0.000755,0.000755
42,697.979,0.77296,1.00856,0.93534,0.56625,0.50771,0.54434,0.44781,0.74861,0.98117,0.96063,0.000742625,0.000742625,0.000742625
43,714.421,0.79068,0.99314,0.95125,0.58614,0.4957,0.53929,0.44455,0.78366,1.03173,0.98223,0.00073025,0.00073025,0.00073025
44,730.894,0.79624,1.01598,0.94503,0.53518,0.52382,0.5626,0.46591,0.75257,0.97262,0.97307,0.000717875,0.000717875,0.000717875
45,747.393,0.77526,0.982,0.94405,0.39821,0.6638,0.56676,0.465,0.7628,0.96816,0.96939,0.0007055,0.0007055,0.0007055
46,763.878,0.78488,0.98058,0.94929,0.47548,0.62535,0.5598,0.45722,0.76929,0.9885,0.97173,0.000693125,0.000693125,0.000693125
47,780.503,0.77146,0.93809,0.94214,0.49604,0.55463,0.54613,0.45833,0.77166,1.01245,0.96102,0.00068075,0.00068075,0.00068075
