epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.7899,1.04845,3.45397,1.13781,0.00502,0.25984,0.09703,0.06683,0.86125,3.56498,0.95614,0.000410539,0.000410539,0.000410539
2,36.744,0.99215,2.3372,1.05418,0.66283,0.22121,0.26552,0.18928,0.87215,2.23234,1.04834,0.000819017,0.000819017,0.000819017
3,53.3839,0.94191,2.05422,1.02828,0.39126,0.46124,0.37804,0.31022,0.87541,1.55506,1.07563,0.00121924,0.00121924,0.00121924
4,69.9348,0.94083,1.85077,1.04245,0.45884,0.42128,0.35272,0.2647,0.92223,1.54724,1.10223,0.00121287,0.00121287,0.00121287
5,86.5649,0.91834,1.6871,1.02309,0.51619,0.63894,0.44997,0.35314,0.8287,1.54991,1.02875,0.0012005,0.0012005,0.0012005
6,103.422,0.88511,1.58772,1.01667,0.33292,0.61073,0.49705,0.39694,0.8222,1.26254,1.0275,0.00118812,0.00118812,0.00118812
7,119.944,0.8996,1.48435,1.02164,0.29633,0.60897,0.45416,0.36227,0.84117,1.29823,1.0362,0.00117575,0.00117575,0.00117575
8,136.386,0.86768,1.4003,1.00393,0.39065,0.62912,0.45872,0.36923,0.81571,1.22963,1.0234,0.00116337,0.00116337,0.00116337
9,152.899,0.86043,1.35642,1.01051,0.37691,0.55482,0.49121,0.39489,0.77461,1.25505,0.99701,0.001151,0.001151,0.001151
10,169.543,0.8338,1.2958,0.99572,0.38699,0.67061,0.46295,0.36844,0.8062,1.25089,1.03046,0.00113863,0.00113863,0.00113863
11,186.018,0.84144,1.28215,0.99912,0.4129,0.60159,0.53846,0.44003,0.76198,1.08701,0.98269,0.00112625,0.00112625,0.00112625
12,202.539,0.85278,1.20063,1.00154,0.42246,0.63194,0.48709,0.38579,0.77988,1.1716,1.00184,0.00111388,0.00111388,0.00111388
13,219.301,0.81989,1.23483,0.97824,0.55723,0.56534,0.52459,0.43217,0.75762,1.13443,0.99955,0.0011015,0.0011015,0.0011015
14,235.833,0.83106,1.19903,0.98681,0.45276,0.67687,0.53418,0.43115,0.76272,1.14244,0.99055,0.00108913,0.00108913,0.00108913
15,252.385,0.79648,1.14299,0.97256,0.36307,0.51817,0.44317,0.36305,0.75922,1.42785,0.99724,0.00107675,0.00107675,0.00107675
16,269.119,0.82148,1.13858,0.98476,0.54409,0.45695,0.51489,0.41856,0.74798,1.08843,0.98869,0.00106437,0.00106437,0.00106437
17,285.722,0.78976,1.10327,0.98194,0.501,0.58478,0.5483,0.44896,0.75276,1.04479,0.99702,0.001052,0.001052,0.001052
18,302.337,0.81784,1.11853,0.99059,0.649,0.50533,0.59459,0.49121,0.72356,1.00352,0.97435,0.00103962,0.00103962,0.00103962
19,318.888,0.78054,1.06286,0.97074,0.51438,0.57287,0.56751,0.4756,0.76781,1.10955,1.00135,0.00102725,0.00102725,0.00102725
20,335.319,0.77848,1.07442,0.97216,0.33305,0.6013,0.50385,0.41645,0.75856,1.30606,0.99535,0.00101488,0.00101488,0.00101488
21,351.838,0.78926,1.10177,0.9757,0.44097,0.60794,0.58339,0.46424,0.80733,1.13892,1.01999,0.0010025,0.0010025,0.0010025
22,368.416,0.77696,1.07233,0.96658,0.57255,0.61248,0.60159,0.48831,0.76097,0.94311,0.9979,0.000990125,0.000990125,0.000990125
23,384.967,0.77815,1.058,0.96792,0.39539,0.67979,0.51967,0.43025,0.7776,1.08473,0.99029,0.00097775,0.00097775,0.00097775
24,401.787,0.77653,1.01319,0.96597,0.63653,0.48191,0.53706,0.44625,0.73252,1.09624,0.98029,0.000965375,0.000965375,0.000965375
25,418.361,0.77066,1.03659,0.96865,0.45677,0.72575,0.57984,0.47121,0.75258,0.99199,0.98958,0.000953,0.000953,0.000953
26,434.916,0.7583,1.00752,0.95949,0.52577,0.53797,0.54063,0.44234,0.74448,1.00067,0.98451,0.000940625,0.000940625,0.000940625
27,451.674,0.76062,1.01023,0.95788,0.51925,0.63726,0.59296,0.48303,0.7629,0.98126,0.99177,0.00092825,0.00092825,0.00092825
28,468.544,0.75493,0.99325,0.95689,0.53317,0.60276,0.59314,0.48151,0.73983,1.00776,0.98863,0.000915875,0.000915875,0.000915875
29,485.107,0.75293,0.9741,0.96543,0.59746,0.59057,0.58107,0.47938,0.74312,0.99717,0.98752,0.0009035,0.0009035,0.0009035
30,501.665,0.75504,0.97542,0.95747,0.60439,0.56253,0.60076,0.50842,0.72398,0.94832,0.9708,0.000891125,0.000891125,0.000891125
31,518.265,0.7336,0.94781,0.95198,0.4796,0.68328,0.62239,0.50561,0.72773,0.93462,0.98523,0.00087875,0.00087875,0.00087875
32,534.912,0.73686,0.9554,0.9477,0.56898,0.5763,0.63486,0.52923,0.72929,1.04895,0.97633,0.000866375,0.000866375,0.000866375
33,551.496,0.73352,0.93127,0.94591,0.48011,0.65554,0.61529,0.51585,0.73816,1.05009,0.97765,0.000854,0.000854,0.000854
34,568.166,0.74112,0.94838,0.94014,0.50152,0.71147,0.6198,0.50617,0.75299,0.97044,0.98998,0.000841625,0.000841625,0.000841625
35,584.698,0.72904,0.94369,0.94483,0.49918,0.68804,0.57545,0.48576,0.75674,0.98905,1.00184,0.00082925,0.00082925,0.00082925
36,601.257,0.72677,0.93296,0.93968,0.62159,0.59938,0.60902,0.51083,0.72909,1.03127,0.98483,0.000816875,0.000816875,0.000816875
37,617.917,0.73663,0.92325,0.94649,0.62931,0.55654,0.62007,0.51614,0.74307,0.93141,0.99632,0.0008045,0.0008045,0.0008045
38,634.516,0.72069,0.92468,0.95068,0.66146,0.55152,0.62206,0.52101,0.72629,0.9561,0.97878,0.000792125,0.000792125,0.000792125
39,651.257,0.73721,0.91477,0.94773,0.54899,0.59646,0.56976,0.47036,0.74449,0.98146,0.98544,0.00077975,0.00077975,0.00077975
40,667.9,0.72802,0.87442,0.94801,0.63108,0.55284,0.59063,0.50121,0.73847,1.01065,0.98468,0.000767375,0.000767375,0.000767375
41,684.456,0.74073,0.86935,0.95001,0.62265,0.56748,0.58135,0.48449,0.73871,0.9698,0.99434,0.000755,0.000755,0.000755
