epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5339,1.30051,3.8933,1.23707,0.00569,0.55414,0.11227,0.06954,0.94328,3.41771,0.99502,0.000410539,0.000410539,0.000410539
2,37.7801,1.09492,2.60932,1.07896,0.89779,0.16667,0.29079,0.19878,0.9764,2.32274,1.00456,0.000819017,0.000819017,0.000819017
3,54.7401,1.03978,2.30926,1.05933,0.22239,0.39106,0.2812,0.19941,0.93901,1.71059,1.05525,0.00121924,0.00121924,0.00121924
4,71.4752,1.02277,2.08571,1.05916,0.42082,0.42384,0.36822,0.27832,0.97725,1.63686,1.05709,0.00121287,0.00121287,0.00121287
5,89.1844,0.99036,1.89541,1.02741,0.29847,0.4763,0.37444,0.29998,0.82989,1.53429,1.01524,0.0012005,0.0012005,0.0012005
6,105.965,0.95444,1.74392,1.01303,0.57329,0.50557,0.4703,0.35968,0.89836,1.51236,1.01625,0.00118812,0.00118812,0.00118812
7,122.774,0.95745,1.64064,1.01679,0.22425,0.60642,0.39666,0.31518,0.84522,1.59785,0.9964,0.00117575,0.00117575,0.00117575
8,139.574,0.92044,1.55924,1.00821,0.66265,0.36466,0.44597,0.36081,0.79326,1.36405,0.9764,0.00116337,0.00116337,0.00116337
9,156.392,0.91032,1.51819,1.0054,0.43505,0.5153,0.46085,0.3708,0.82751,1.42572,0.98516,0.001151,0.001151,0.001151
10,173.289,0.8737,1.46001,0.98681,0.46548,0.58129,0.49119,0.40533,0.78882,1.19184,0.96908,0.00113863,0.00113863,0.00113863
11,190.343,0.89551,1.43536,1.00016,0.34087,0.62848,0.48902,0.39486,0.83513,1.30422,1.02679,0.00112625,0.00112625,0.00112625
12,207.243,0.87518,1.33278,0.98667,0.39716,0.55949,0.4697,0.37794,0.78314,1.1753,0.9784,0.00111388,0.00111388,0.00111388
13,224.296,0.86529,1.35707,0.97441,0.54432,0.54461,0.55154,0.45697,0.76124,1.14842,0.96966,0.0011015,0.0011015,0.0011015
14,241.175,0.87268,1.30921,0.98711,0.44313,0.60992,0.49032,0.40484,0.77163,1.13109,0.95289,0.00108913,0.00108913,0.00108913
15,257.992,0.84689,1.26568,0.97261,0.32178,0.68867,0.49152,0.40176,0.79124,1.12007,0.96975,0.00107675,0.00107675,0.00107675
16,274.69,0.86591,1.28824,0.98169,0.39665,0.62852,0.49545,0.40504,0.7526,1.11497,0.94955,0.00106437,0.00106437,0.00106437
17,291.582,0.82693,1.2288,0.96536,0.46759,0.62368,0.53056,0.42255,0.81597,1.20493,0.96693,0.001052,0.001052,0.001052
18,308.311,0.85129,1.22323,0.98406,0.41628,0.54649,0.48597,0.39579,0.76483,1.10835,0.96371,0.00103962,0.00103962,0.00103962
19,325.126,0.82496,1.17753,0.96394,0.50113,0.56368,0.54095,0.43725,0.79159,1.05708,0.96514,0.00102725,0.00102725,0.00102725
20,341.86,0.82086,1.19179,0.96642,0.44474,0.51402,0.51589,0.4222,0.7774,1.12384,0.96176,0.00101488,0.00101488,0.00101488
21,358.682,0.84014,1.16313,0.97565,0.39509,0.66933,0.50785,0.40758,0.82488,1.32764,1.00453,0.0010025,0.0010025,0.0010025
22,375.435,0.8197,1.16867,0.9561,0.55655,0.63587,0.59261,0.48483,0.79209,1.00881,0.97035,0.000990125,0.000990125,0.000990125
23,392.362,0.81661,1.13875,0.96098,0.53038,0.61696,0.57553,0.46528,0.74665,1.0069,0.96179,0.00097775,0.00097775,0.00097775
24,409.147,0.80395,1.11693,0.95529,0.33819,0.6706,0.50751,0.41231,0.76819,1.23557,0.96656,0.000965375,0.000965375,0.000965375
25,426.002,0.79636,1.12213,0.95219,0.54523,0.55592,0.59598,0.4932,0.75893,1.02608,0.95607,0.000953,0.000953,0.000953
26,442.83,0.78654,1.13261,0.94346,0.52479,0.50723,0.52709,0.43755,0.73873,1.03632,0.92832,0.000940625,0.000940625,0.000940625
27,459.704,0.78936,1.11435,0.94422,0.54402,0.52064,0.54871,0.43699,0.79322,1.05059,0.95326,0.00092825,0.00092825,0.00092825
28,476.474,0.79882,1.10933,0.94894,0.56502,0.51218,0.54819,0.45737,0.74722,1.02031,0.94415,0.000915875,0.000915875,0.000915875
29,493.353,0.78732,1.06932,0.94818,0.37646,0.63608,0.54257,0.45325,0.76354,1.04155,0.95875,0.0009035,0.0009035,0.0009035
30,510.151,0.78769,1.06422,0.94056,0.56274,0.54724,0.57823,0.48495,0.76285,0.99865,0.94828,0.000891125,0.000891125,0.000891125
31,527.073,0.76575,1.04264,0.94206,0.35403,0.64728,0.51705,0.42227,0.77151,1.19678,0.97611,0.00087875,0.00087875,0.00087875
32,543.811,0.7709,1.03512,0.93721,0.53061,0.56668,0.57239,0.46603,0.76524,0.99713,0.95024,0.000866375,0.000866375,0.000866375
33,560.636,0.77336,1.02785,0.93496,0.57077,0.575,0.52445,0.44253,0.74476,1.13936,0.94353,0.000854,0.000854,0.000854
34,577.469,0.78164,1.04478,0.93302,0.51291,0.64276,0.61656,0.51185,0.77129,0.97027,0.96577,0.000841625,0.000841625,0.000841625
35,594.321,0.75705,1.00247,0.93472,0.48282,0.64065,0.60809,0.51002,0.74436,0.9798,0.94407,0.00082925,0.00082925,0.00082925
36,611.385,0.76171,1.02249,0.92642,0.57202,0.52651,0.59195,0.49721,0.72881,1.00112,0.93822,0.000816875,0.000816875,0.000816875
37,628.236,0.78098,1.01529,0.93979,0.54501,0.69096,0.60796,0.49572,0.77029,0.92236,0.9643,0.0008045,0.0008045,0.0008045
38,644.948,0.73977,1.01331,0.92969,0.56996,0.52772,0.59609,0.49222,0.77642,0.9502,0.94422,0.000792125,0.000792125,0.000792125
39,661.697,0.75391,0.978,0.92758,0.59962,0.51638,0.60834,0.49893,0.7726,0.96834,0.9476,0.00077975,0.00077975,0.00077975
40,678.461,0.76786,0.9719,0.93703,0.48262,0.60926,0.59437,0.48951,0.78803,0.95631,0.96518,0.000767375,0.000767375,0.000767375
41,695.294,0.75838,0.9674,0.93132,0.57841,0.53076,0.59078,0.49265,0.74064,0.97182,0.94058,0.000755,0.000755,0.000755
42,711.967,0.74527,0.97189,0.91772,0.47536,0.67646,0.60127,0.50411,0.73761,0.96863,0.9339,0.000742625,0.000742625,0.000742625
43,728.896,0.76158,0.95664,0.93156,0.50186,0.6049,0.57741,0.47753,0.72779,0.99156,0.9395,0.00073025,0.00073025,0.00073025
44,745.691,0.75766,0.97457,0.9242,0.50761,0.54934,0.54303,0.44937,0.7396,0.98698,0.92405,0.000717875,0.000717875,0.000717875
45,762.589,0.73907,0.95318,0.91726,0.49867,0.69939,0.60408,0.49829,0.73441,0.90864,0.93141,0.0007055,0.0007055,0.0007055
46,779.454,0.74472,0.95346,0.91779,0.58171,0.60149,0.59932,0.49603,0.72294,0.95963,0.92264,0.000693125,0.000693125,0.000693125
47,796.44,0.73678,0.91334,0.92208,0.51329,0.67025,0.61722,0.5123,0.72394,0.92547,0.92059,0.00068075,0.00068075,0.00068075
48,813.443,0.74474,0.95487,0.9172,0.66389,0.57408,0.61778,0.51473,0.72305,0.94363,0.92327,0.000668375,0.000668375,0.000668375
49,830.257,0.7331,0.90233,0.91633,0.50354,0.72013,0.64202,0.52298,0.72686,0.88826,0.92617,0.000656,0.000656,0.000656
50,847.091,0.74242,0.91278,0.92359,0.59867,0.66407,0.64132,0.54272,0.73214,0.93319,0.93317,0.000643625,0.000643625,0.000643625
51,863.851,0.71453,0.90941,0.91294,0.6054,0.59183,0.61062,0.50734,0.7198,0.94077,0.92578,0.00063125,0.00063125,0.00063125
52,880.643,0.74058,0.9082,0.91948,0.50899,0.71037,0.62279,0.52843,0.7146,0.92647,0.92657,0.000618875,0.000618875,0.000618875
53,897.355,0.72864,0.89316,0.91271,0.58895,0.62922,0.64058,0.53371,0.73053,0.92415,0.92857,0.0006065,0.0006065,0.0006065
54,914.177,0.72959,0.87225,0.91401,0.54753,0.65105,0.61943,0.52104,0.7103,0.92745,0.918,0.000594125,0.000594125,0.000594125
55,931.046,0.71887,0.88111,0.91245,0.51508,0.68967,0.62158,0.52396,0.71263,0.92528,0.92141,0.00058175,0.00058175,0.00058175
56,947.933,0.72678,0.84651,0.90597,0.61148,0.6309,0.6294,0.51881,0.70725,0.90803,0.91597,0.000569375,0.000569375,0.000569375
57,964.826,0.71675,0.87696,0.91336,0.60905,0.639,0.6169,0.51008,0.73114,0.9008,0.9328,0.000557,0.000557,0.000557
58,981.408,0.71608,0.86851,0.90649,0.58058,0.66409,0.64935,0.54583,0.72756,0.88131,0.92652,0.000544625,0.000544625,0.000544625
59,998.048,0.70496,0.84603,0.89965,0.55139,0.64071,0.63565,0.53031,0.72474,0.9592,0.92394,0.00053225,0.00053225,0.00053225
60,1014.67,0.71275,0.85992,0.9096,0.60991,0.68486,0.6495,0.53989,0.72402,0.90641,0.92134,0.000519875,0.000519875,0.000519875
61,1031.35,0.71664,0.84654,0.90779,0.63964,0.64936,0.65305,0.54594,0.71962,0.93347,0.91798,0.0005075,0.0005075,0.0005075
62,1047.96,0.70922,0.8363,0.90748,0.57523,0.63089,0.63173,0.52845,0.70276,0.94644,0.90927,0.000495125,0.000495125,0.000495125
63,1064.55,0.70683,0.81058,0.90514,0.56411,0.70677,0.63265,0.52663,0.71122,0.93911,0.91815,0.00048275,0.00048275,0.00048275
64,1081.14,0.70726,0.81993,0.90637,0.59744,0.63007,0.61854,0.51703,0.72094,0.93931,0.92041,0.000470375,0.000470375,0.000470375
65,1097.72,0.69205,0.79266,0.89614,0.56958,0.63297,0.63031,0.53778,0.70232,0.91386,0.92126,0.000458,0.000458,0.000458
66,1114.44,0.69765,0.79653,0.89455,0.59574,0.63999,0.64454,0.54424,0.69897,0.90803,0.91922,0.000445625,0.000445625,0.000445625
67,1131.08,0.68575,0.77725,0.89602,0.69031,0.59909,0.65828,0.56014,0.69626,0.90665,0.90216,0.00043325,0.00043325,0.00043325
68,1147.71,0.6956,0.81334,0.89858,0.62847,0.56043,0.60094,0.50681,0.70344,0.96231,0.90873,0.000420875,0.000420875,0.000420875
69,1164.35,0.67532,0.77787,0.89121,0.6498,0.62327,0.66448,0.56587,0.70422,0.86473,0.9197,0.0004085,0.0004085,0.0004085
70,1180.93,0.67753,0.78279,0.89179,0.53081,0.65009,0.59227,0.50481,0.69179,0.93853,0.91675,0.000396125,0.000396125,0.000396125
71,1197.61,0.71022,0.80145,0.89877,0.53355,0.69533,0.63983,0.53957,0.69958,0.91198,0.91607,0.00038375,0.00038375,0.00038375
72,1214.23,0.68532,0.77,0.89185,0.59678,0.65704,0.63714,0.54059,0.70263,0.91799,0.91403,0.000371375,0.000371375,0.000371375
73,1231.02,0.69835,0.75537,0.89803,0.63674,0.61208,0.66181,0.56634,0.69838,0.8991,0.90623,0.000359,0.000359,0.000359
74,1247.6,0.68013,0.76575,0.89034,0.57394,0.64355,0.61181,0.51653,0.73744,0.94277,0.92417,0.000346625,0.000346625,0.000346625
