epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.1243,1.12112,3.34727,1.15179,0.00975,0.68328,0.16267,0.09661,0.83357,3.39371,0.95572,0.000410539,0.000410539,0.000410539
2,39.9135,1.00008,2.135,1.06593,0.41762,0.42868,0.40615,0.31572,0.81419,1.91514,1.04528,0.000819017,0.000819017,0.000819017
3,57.1014,0.93034,1.86984,1.05938,0.71548,0.4334,0.46735,0.36959,0.84366,1.35524,1.07418,0.00121924,0.00121924,0.00121924
4,74.1409,0.95585,1.75132,1.07274,0.4285,0.62744,0.49517,0.3999,0.84523,1.37759,1.06574,0.00121287,0.00121287,0.00121287
5,91.3124,0.90984,1.57164,1.03831,0.35751,0.67339,0.45249,0.36684,0.7784,1.37941,1.0428,0.0012005,0.0012005,0.0012005
6,108.498,0.90798,1.4905,1.04395,0.23198,0.57987,0.36405,0.28039,0.91107,1.50958,1.09848,0.00118812,0.00118812,0.00118812
7,126.251,0.9058,1.39672,1.05149,0.36367,0.5173,0.43515,0.35595,0.77115,1.29368,1.02737,0.00117575,0.00117575,0.00117575
8,142.908,0.88309,1.31732,1.03562,0.32043,0.63924,0.52789,0.41488,0.86481,1.19485,1.10223,0.00116337,0.00116337,0.00116337
9,159.473,0.8818,1.31041,1.04403,0.50097,0.64434,0.57681,0.46999,0.77469,1.09491,1.03406,0.001151,0.001151,0.001151
10,176.129,0.83731,1.21305,1.02244,0.47872,0.718,0.54867,0.44772,0.77195,1.04127,1.03681,0.00113863,0.00113863,0.00113863
11,192.679,0.85953,1.20497,1.02496,0.49101,0.55444,0.56308,0.45812,0.74611,1.0618,1.01521,0.00112625,0.00112625,0.00112625
12,209.197,0.85553,1.1488,1.03201,0.48953,0.61217,0.58037,0.47732,0.7821,0.96216,1.03723,0.00111388,0.00111388,0.00111388
13,226.269,0.82673,1.15758,1.0046,0.53603,0.65088,0.58687,0.48641,0.73603,1.07362,1.00558,0.0011015,0.0011015,0.0011015
14,243.921,0.83749,1.11062,1.01269,0.44673,0.69722,0.60757,0.50074,0.77497,1.01479,1.02393,0.00108913,0.00108913,0.00108913
15,261.234,0.81362,1.07366,1.00462,0.58491,0.58452,0.60608,0.4991,0.7447,0.95294,1.01204,0.00107675,0.00107675,0.00107675
16,278.399,0.8311,1.07357,1.00432,0.40856,0.72394,0.56493,0.463,0.74757,1.02587,1.01288,0.00106437,0.00106437,0.00106437
17,295.614,0.80286,1.04598,1.00335,0.54645,0.6426,0.63344,0.52539,0.73214,0.90149,0.99883,0.001052,0.001052,0.001052
18,312.827,0.81016,1.05536,1.00481,0.40026,0.7797,0.59354,0.50132,0.72346,0.94873,0.99644,0.00103962,0.00103962,0.00103962
19,330.064,0.79981,1.01717,1.00239,0.50005,0.73863,0.6334,0.5269,0.74146,0.8933,1.00898,0.00102725,0.00102725,0.00102725
20,347.251,0.78922,1.02677,0.9971,0.41118,0.71461,0.58304,0.47837,0.80683,1.04971,1.04262,0.00101488,0.00101488,0.00101488
21,364.437,0.81423,1.03744,1.0098,0.54136,0.68196,0.65404,0.54794,0.72084,0.87998,0.99203,0.0010025,0.0010025,0.0010025
22,381.553,0.78909,1.00943,0.99641,0.53784,0.65003,0.59353,0.48064,0.74993,0.95169,1.01712,0.000990125,0.000990125,0.000990125
23,398.751,0.77963,1.02831,0.98571,0.48346,0.69823,0.60969,0.50499,0.79609,0.972,1.05787,0.00097775,0.00097775,0.00097775
24,416.047,0.78325,0.97569,0.99147,0.50123,0.65793,0.60095,0.49701,0.76189,0.97737,1.03139,0.000965375,0.000965375,0.000965375
25,433.198,0.76368,0.97902,0.98634,0.59243,0.57471,0.64044,0.528,0.74486,0.90346,1.00612,0.000953,0.000953,0.000953
26,450.36,0.75112,0.98133,0.97908,0.61738,0.54486,0.6126,0.50695,0.73206,0.90227,0.99304,0.000940625,0.000940625,0.000940625
27,467.499,0.76835,0.97986,0.98167,0.59095,0.71601,0.66788,0.56326,0.70099,0.83575,0.98105,0.00092825,0.00092825,0.00092825
28,484.736,0.7712,0.97345,0.98246,0.65427,0.72442,0.67553,0.56346,0.70583,0.86079,0.99156,0.000915875,0.000915875,0.000915875
29,501.974,0.76829,0.94791,0.98477,0.56075,0.65518,0.64297,0.54399,0.69644,0.90377,0.97305,0.0009035,0.0009035,0.0009035
30,519.411,0.77158,0.95789,0.98393,0.48513,0.68317,0.62812,0.53149,0.70154,0.8546,0.98321,0.000891125,0.000891125,0.000891125
