epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4256,0.96798,3.15643,1.07696,0.0046,0.38534,0.05844,0.02735,0.77115,3.5101,0.94756,0.000410539,0.000410539,0.000410539
2,36.3706,0.89468,1.95815,1.01357,0.7414,0.40924,0.44842,0.36572,0.78952,1.8857,1.01351,0.000819017,0.000819017,0.000819017
3,53.0392,0.86859,1.76641,1.01271,0.32344,0.60203,0.46412,0.37872,0.77302,1.4412,1.02261,0.00121924,0.00121924,0.00121924
4,70.2113,0.87046,1.64949,1.01459,0.3367,0.59664,0.41671,0.34476,0.76944,1.57657,1.02625,0.00121287,0.00121287,0.00121287
5,86.8114,0.87953,1.51484,1.00493,0.50896,0.47061,0.42565,0.33139,0.82337,1.56869,1.05295,0.0012005,0.0012005,0.0012005
6,103.295,0.86068,1.42854,1.00554,0.32719,0.53107,0.47267,0.39148,0.74381,1.17274,0.99727,0.00118812,0.00118812,0.00118812
7,119.724,0.84124,1.32452,1.00529,0.31869,0.71372,0.52765,0.43335,0.7586,1.18763,1.0083,0.00117575,0.00117575,0.00117575
8,136.397,0.81257,1.24071,0.98594,0.53823,0.55955,0.53584,0.43582,0.78687,1.09469,1.01051,0.00116337,0.00116337,0.00116337
9,152.879,0.81795,1.25215,0.99732,0.50437,0.58986,0.54992,0.46059,0.72431,1.06786,0.98247,0.001151,0.001151,0.001151
10,169.488,0.78398,1.15605,0.9803,0.4895,0.61793,0.51956,0.44081,0.72163,1.09028,0.98814,0.00113863,0.00113863,0.00113863
11,186.918,0.78949,1.14777,0.97908,0.33507,0.5628,0.40859,0.32866,0.76689,1.6704,1.00912,0.00112625,0.00112625,0.00112625
12,203.528,0.80694,1.10518,0.98972,0.49336,0.71053,0.54052,0.45247,0.71356,1.0467,0.98121,0.00111388,0.00111388,0.00111388
13,219.94,0.77893,1.10415,0.97429,0.49595,0.68392,0.52582,0.4377,0.7257,1.05484,0.99329,0.0011015,0.0011015,0.0011015
14,236.263,0.78889,1.075,0.97795,0.36838,0.5615,0.48053,0.39626,0.75378,1.14079,0.99506,0.00108913,0.00108913,0.00108913
15,252.715,0.77051,1.03953,0.96889,0.47709,0.70567,0.58662,0.48926,0.71402,1.03186,0.97812,0.00107675,0.00107675,0.00107675
16,269.011,0.7626,1.03025,0.96339,0.51912,0.56708,0.58426,0.4789,0.75707,0.94786,1.01283,0.00106437,0.00106437,0.00106437
17,285.342,0.76206,1.02321,0.97126,0.45801,0.65455,0.54738,0.45454,0.73197,0.9801,0.98595,0.001052,0.001052,0.001052
18,301.634,0.77176,0.99689,0.97903,0.45203,0.58679,0.54025,0.4504,0.72923,0.95898,0.99186,0.00103962,0.00103962,0.00103962
19,317.871,0.75501,0.97058,0.97135,0.49602,0.62299,0.57631,0.47354,0.72975,0.94392,0.98556,0.00102725,0.00102725,0.00102725
20,334.256,0.75365,1.00017,0.96671,0.48252,0.68938,0.62623,0.51366,0.71787,0.92533,0.98392,0.00101488,0.00101488,0.00101488
21,350.625,0.76657,0.97622,0.97441,0.56021,0.59797,0.60994,0.50398,0.70071,0.9221,0.96464,0.0010025,0.0010025,0.0010025
22,367.119,0.73806,0.97144,0.95898,0.45042,0.62745,0.58097,0.48465,0.69081,0.95007,0.97024,0.000990125,0.000990125,0.000990125
23,383.499,0.73081,0.9552,0.95849,0.60677,0.65732,0.63647,0.52025,0.71205,0.87709,0.98355,0.00097775,0.00097775,0.00097775
24,399.855,0.74813,0.92391,0.96553,0.58859,0.59938,0.59663,0.49716,0.71012,0.97256,0.98139,0.000965375,0.000965375,0.000965375
25,416.346,0.72987,0.93135,0.9629,0.50624,0.72716,0.62397,0.51806,0.71436,0.88764,0.98124,0.000953,0.000953,0.000953
26,432.726,0.72185,0.9319,0.95502,0.49033,0.70373,0.59014,0.49352,0.7227,0.91714,0.98413,0.000940625,0.000940625,0.000940625
27,449.317,0.72889,0.91822,0.94982,0.50745,0.6997,0.61584,0.51802,0.70105,0.90612,0.97183,0.00092825,0.00092825,0.00092825
28,465.906,0.72026,0.9181,0.94967,0.63909,0.59712,0.64224,0.5329,0.68962,0.82531,0.96283,0.000915875,0.000915875,0.000915875
29,482.356,0.7282,0.8793,0.9581,0.55929,0.68367,0.65335,0.55205,0.71736,0.89179,0.98344,0.0009035,0.0009035,0.0009035
30,498.734,0.72988,0.89143,0.95444,0.53659,0.63204,0.58527,0.491,0.71255,0.87281,0.98107,0.000891125,0.000891125,0.000891125
31,515.121,0.71358,0.84962,0.95429,0.48777,0.70993,0.60955,0.51316,0.70067,0.91268,0.97462,0.00087875,0.00087875,0.00087875
32,531.536,0.70243,0.85303,0.94643,0.65479,0.55856,0.67388,0.56275,0.71068,0.89432,0.98505,0.000866375,0.000866375,0.000866375
33,547.928,0.71075,0.85167,0.94291,0.42719,0.65609,0.56569,0.47949,0.72612,1.31185,0.99101,0.000854,0.000854,0.000854
34,564.406,0.71347,0.86298,0.94048,0.54709,0.64589,0.60599,0.50584,0.69186,0.8712,0.97018,0.000841625,0.000841625,0.000841625
35,580.895,0.69515,0.8541,0.93751,0.5727,0.63787,0.65594,0.55571,0.70291,0.87736,0.97193,0.00082925,0.00082925,0.00082925
36,597.53,0.69986,0.84837,0.93008,0.60604,0.64551,0.62136,0.52519,0.68235,0.83077,0.96106,0.000816875,0.000816875,0.000816875
37,614.104,0.71077,0.83407,0.94482,0.54227,0.67363,0.62222,0.52337,0.69845,0.90761,0.9739,0.0008045,0.0008045,0.0008045
38,630.6,0.68899,0.80994,0.94429,0.4907,0.7167,0.64477,0.54952,0.68055,0.90243,0.96279,0.000792125,0.000792125,0.000792125
39,647.029,0.7012,0.80119,0.94131,0.62145,0.61071,0.62974,0.53374,0.70365,0.98267,0.97904,0.00077975,0.00077975,0.00077975
40,663.565,0.69775,0.78766,0.94205,0.55784,0.69559,0.63282,0.52194,0.71835,0.8903,0.97926,0.000767375,0.000767375,0.000767375
41,680.039,0.68839,0.79902,0.93193,0.60759,0.59908,0.6348,0.5284,0.71091,0.84641,0.9799,0.000755,0.000755,0.000755
42,696.442,0.68584,0.81611,0.92596,0.68938,0.57174,0.6227,0.52589,0.68902,0.89126,0.96412,0.000742625,0.000742625,0.000742625
43,712.808,0.68749,0.79039,0.93163,0.66979,0.56817,0.59081,0.49768,0.70065,0.92805,0.97738,0.00073025,0.00073025,0.00073025
44,729.372,0.69633,0.79696,0.92951,0.56288,0.68678,0.63062,0.53595,0.66782,0.87312,0.9526,0.000717875,0.000717875,0.000717875
45,745.817,0.67341,0.76242,0.9311,0.52447,0.73562,0.62582,0.52986,0.67997,0.86303,0.96512,0.0007055,0.0007055,0.0007055
46,762.402,0.68176,0.78652,0.92877,0.50916,0.64143,0.57575,0.48506,0.68863,0.9338,0.95995,0.000693125,0.000693125,0.000693125
47,778.811,0.67825,0.755,0.93123,0.52986,0.75357,0.6354,0.53433,0.68902,0.83119,0.96167,0.00068075,0.00068075,0.00068075
48,795.336,0.67866,0.77643,0.93052,0.54128,0.75633,0.63174,0.51774,0.69922,0.82954,0.96574,0.000668375,0.000668375,0.000668375
49,811.822,0.66907,0.73967,0.92938,0.59489,0.7276,0.65423,0.55445,0.6758,0.88688,0.96049,0.000656,0.000656,0.000656
50,828.352,0.68721,0.73486,0.93652,0.62429,0.6137,0.65745,0.55813,0.69059,0.8523,0.96834,0.000643625,0.000643625,0.000643625
