epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.8904,1.21719,3.87753,1.22125,0.01213,0.45564,0.07363,0.03545,0.8917,3.70506,1.02419,0.000410539,0.000410539,0.000410539
2,38.0452,1.09894,2.53879,1.09311,0.5979,0.26486,0.23635,0.17469,0.93733,2.26533,1.02918,0.000819017,0.000819017,0.000819017
3,54.5922,1.0251,2.16711,1.06402,0.28807,0.46461,0.39065,0.30291,0.9106,1.8039,1.05681,0.00121924,0.00121924,0.00121924
4,71.0132,1.0007,1.92558,1.05906,0.37184,0.55868,0.40704,0.31835,0.88824,1.51113,1.08384,0.00121287,0.00121287,0.00121287
5,87.5802,0.96926,1.74459,1.03222,0.28249,0.39015,0.27234,0.22171,0.83781,2.20355,1.06036,0.0012005,0.0012005,0.0012005
6,103.954,0.95271,1.63043,1.0404,0.3066,0.54204,0.46646,0.37865,0.81895,1.31448,0.9853,0.00118812,0.00118812,0.00118812
7,120.456,0.94231,1.53993,1.03944,0.25063,0.64773,0.41943,0.33882,0.83441,1.43304,1.01107,0.00117575,0.00117575,0.00117575
8,136.876,0.93538,1.444,1.02101,0.59058,0.52839,0.43211,0.35222,0.7803,1.31588,0.99766,0.00116337,0.00116337,0.00116337
9,153.614,0.91001,1.41983,1.02187,0.38295,0.57111,0.4874,0.38612,0.81707,1.20764,1.01424,0.001151,0.001151,0.001151
10,170.585,0.88967,1.36678,1.01133,0.4013,0.53203,0.47102,0.37076,0.83074,1.19313,1.03054,0.00113863,0.00113863,0.00113863
11,187.025,0.89003,1.34947,1.01572,0.33447,0.70107,0.48365,0.38904,0.8039,1.17425,1.00901,0.00112625,0.00112625,0.00112625
12,204.282,0.87564,1.27285,1.00181,0.44477,0.66602,0.4924,0.39979,0.79818,1.14064,1.00471,0.00111388,0.00111388,0.00111388
13,220.699,0.86769,1.28736,0.99265,0.38096,0.61987,0.49561,0.40189,0.80959,1.11392,1.02288,0.0011015,0.0011015,0.0011015
14,237.102,0.88249,1.23679,1.01232,0.71849,0.57894,0.53765,0.44185,0.79123,1.19297,0.98163,0.00108913,0.00108913,0.00108913
15,253.461,0.83679,1.18318,0.98834,0.44223,0.68967,0.56803,0.46643,0.76545,1.08389,0.98205,0.00107675,0.00107675,0.00107675
16,269.917,0.84816,1.18614,0.98602,0.47685,0.58387,0.51151,0.41366,0.78836,1.24953,0.99406,0.00106437,0.00106437,0.00106437
17,286.301,0.83622,1.17218,0.99149,0.43153,0.72853,0.55053,0.45177,0.77884,1.15607,0.98188,0.001052,0.001052,0.001052
18,303.056,0.8443,1.1732,0.99105,0.54234,0.60677,0.58033,0.47324,0.77163,1.05764,0.98872,0.00103962,0.00103962,0.00103962
19,319.726,0.82328,1.13288,0.97883,0.45672,0.68437,0.57911,0.46815,0.77761,1.05328,0.99365,0.00102725,0.00102725,0.00102725
20,336.205,0.81852,1.10865,0.98204,0.36748,0.65211,0.53519,0.43099,0.77817,1.13567,0.99275,0.00101488,0.00101488,0.00101488
21,353.126,0.84639,1.11787,0.99435,0.53045,0.58572,0.5833,0.47174,0.76255,1.03232,0.98633,0.0010025,0.0010025,0.0010025
22,369.726,0.8329,1.13,0.97906,0.42331,0.61451,0.54637,0.44975,0.77562,1.16217,0.97883,0.000990125,0.000990125,0.000990125
23,386.268,0.81321,1.11421,0.97508,0.4815,0.64532,0.55522,0.44947,0.79985,1.06247,1.00597,0.00097775,0.00097775,0.00097775
24,402.865,0.807,1.07111,0.97479,0.42593,0.67485,0.54427,0.43828,0.80132,1.16761,1.00345,0.000965375,0.000965375,0.000965375
25,419.463,0.79343,1.09281,0.97071,0.42247,0.62677,0.55826,0.45265,0.77327,1.05434,0.98415,0.000953,0.000953,0.000953
26,436.099,0.7909,1.07426,0.96723,0.54072,0.54779,0.57331,0.48331,0.74015,1.01841,0.96776,0.000940625,0.000940625,0.000940625
27,452.635,0.8045,1.06454,0.97034,0.51235,0.60835,0.5904,0.48364,0.7452,0.99312,0.97262,0.00092825,0.00092825,0.00092825
28,469.22,0.79711,1.05266,0.97025,0.53872,0.63127,0.61056,0.50041,0.74134,0.96811,0.9765,0.000915875,0.000915875,0.000915875
29,485.853,0.79836,1.01519,0.97539,0.50251,0.66832,0.58261,0.46707,0.80135,0.95737,1.0044,0.0009035,0.0009035,0.0009035
30,502.516,0.79283,1.03335,0.96645,0.49022,0.59417,0.55421,0.45375,0.73071,0.96927,0.97252,0.000891125,0.000891125,0.000891125
31,519.17,0.77139,0.99138,0.96499,0.42302,0.57584,0.51598,0.43075,0.82693,1.29427,1.0433,0.00087875,0.00087875,0.00087875
32,535.684,0.76371,0.98582,0.9587,0.55342,0.60006,0.62183,0.51674,0.7368,0.94778,0.97344,0.000866375,0.000866375,0.000866375
33,552.52,0.77997,0.98845,0.95243,0.53018,0.63184,0.58038,0.46666,0.77823,1.08355,0.97872,0.000854,0.000854,0.000854
34,569.163,0.78117,1.00487,0.94995,0.55533,0.64645,0.61846,0.50739,0.72993,0.9267,0.9547,0.000841625,0.000841625,0.000841625
35,585.844,0.75687,0.96499,0.94595,0.53994,0.60507,0.57226,0.45703,0.78937,1.13182,0.99846,0.00082925,0.00082925,0.00082925
36,602.318,0.75573,0.99067,0.94157,0.63379,0.55607,0.63366,0.529,0.73585,0.99257,0.96721,0.000816875,0.000816875,0.000816875
37,618.903,0.77141,0.95921,0.95561,0.47674,0.63527,0.58355,0.48229,0.72595,1.08022,0.96684,0.0008045,0.0008045,0.0008045
38,635.432,0.76046,0.97199,0.95716,0.55527,0.61975,0.63785,0.52935,0.73542,0.92513,0.95798,0.000792125,0.000792125,0.000792125
39,652.018,0.75521,0.95645,0.95029,0.5036,0.65013,0.60863,0.50317,0.73571,0.99805,0.97004,0.00077975,0.00077975,0.00077975
40,668.537,0.76729,0.93565,0.95432,0.5977,0.6108,0.62233,0.5077,0.74591,0.9307,0.98138,0.000767375,0.000767375,0.000767375
41,685.248,0.7622,0.93873,0.95003,0.69053,0.51545,0.62684,0.51863,0.75954,0.94981,0.98658,0.000755,0.000755,0.000755
42,701.7,0.74734,0.94023,0.93532,0.46101,0.7429,0.63164,0.51818,0.74845,1.01021,0.96818,0.000742625,0.000742625,0.000742625
