epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.7077,1.01398,3.1359,1.08496,0.00661,0.66194,0.16083,0.08719,0.77937,3.51346,0.93239,0.000410539,0.000410539,0.000410539
2,36.6156,0.91728,1.969,1.03559,0.56711,0.27798,0.29324,0.23321,0.78897,2.12349,1.03674,0.000819017,0.000819017,0.000819017
3,53.2726,0.88946,1.73919,1.04708,0.40857,0.57899,0.43979,0.35664,0.80095,1.43631,1.06132,0.00121924,0.00121924,0.00121924
4,69.8772,0.88056,1.6148,1.04552,0.30805,0.70011,0.36208,0.28457,0.82248,1.62509,1.06176,0.00121287,0.00121287,0.00121287
5,86.387,0.86819,1.46487,1.02332,0.33918,0.63198,0.40726,0.32406,0.78272,1.42963,1.03899,0.0012005,0.0012005,0.0012005
6,103.092,0.86221,1.37866,1.02932,0.42894,0.56361,0.4872,0.38605,0.79156,1.17431,1.03233,0.00118812,0.00118812,0.00118812
7,120.262,0.86237,1.3454,1.02914,0.32848,0.68572,0.48035,0.37781,0.79543,1.16206,1.0337,0.00117575,0.00117575,0.00117575
8,137.212,0.83714,1.22106,1.01296,0.27864,0.57163,0.46524,0.38517,0.75006,1.13933,1.01429,0.00116337,0.00116337,0.00116337
9,153.707,0.84714,1.23981,1.02793,0.40039,0.80007,0.53938,0.43868,0.76048,1.04551,1.03062,0.001151,0.001151,0.001151
10,170.284,0.81653,1.14823,1.01221,0.45536,0.66021,0.52249,0.41578,0.7607,1.01863,1.0258,0.00113863,0.00113863,0.00113863
11,186.805,0.79466,1.11175,0.99613,0.46499,0.69199,0.50945,0.41876,0.76894,1.08626,1.02319,0.00112625,0.00112625,0.00112625
12,204.602,0.81068,1.0613,1.00898,0.50286,0.694,0.58618,0.48329,0.75246,0.94485,1.01953,0.00111388,0.00111388,0.00111388
